Phecode,ICD string,Layer
008.5,Intestinal infection due to staphylococcus,2
008.5,Intestinal infection due to other gram-negative bacteria,2
008.5,Other specified salmonella infections,2
008.5,Shigellosis,2
008.5,Botulism food poisoning,2
008.5,Food poisoning due to Clostridium perfringens [C. welchii],2
008.5,Salmonella infection NOS,2
008.5,Shigellosis,2
008.5,Typhoid fever,2
008.5,Intestinal infection due to other anaerobes,2
008.5,Shigellosis due to Shigella boydii,2
008.5,Salmonella gastroenteritis,2
008.5,Other specified bacterial intestinal infections,2
008.5,Botulism,2
008.5,Other salmonella infections,2
008.5,Typhoid fever,2
008.5,Foodborne Vibrio parahaemolyticus intoxication,2
008.5,Intestinal infection due to other specified bacteria,2
008.5,Intestinal infection due to other specified bacteria,2
008.5,Shigella boydii,2
008.5,Intestinal infection due to proteus (mirabilis) (morganii),2
008.5,Shigellosis NOS,2
008.5,Other shigellosis,2
008.5,Other specified shigella infections,2
008.5,"Bacterial intestinal infection, unspecified",2
008.5,"Salmonella infection, unspecified",2
008.5,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,2
008.5,Intestinal infection due to pseudomonas,2
008.5,Other salmonella infections,2
008.5,Foodborne staphylococcal intoxication,2
008.5,"Bacterial enteritis, unspecified",2
008.5,Other specified salmonella infections,2
008.5,Shigellosis due to Shigella sonnei,2
008.5,Intestinal infection due to campylobacter,2
008.5,Enteritis due to Yersinia enterocolitica,2
008.5,Food poisoning due to Vibrio vulnificus,2
008.5,Salmonella enteritis,2
008.5,Shigella flexneri,2
008.5,Food poisoning due to Vibrio parahaemolyticus,2
008.5,Intestinal infection due to yersinia enterocolitica,2
008.5,"Localized salmonella infection, unspecified",2
008.5,Intestinal infection due to arizona group of paracolon bacilli,2
008.5,Intestinal infection due to aerobacter aerogenes,2
008.5,Shigella dysenteriae,2
008.5,Other localized salmonella infections,2
008.5,Staphylococcal food poisoning,2
008.5,Shigellosis due to Shigella dysenteriae,2
008.5,Foodborne Bacillus cereus intoxication,2
008.5,Other bacterial food poisoning,2
008.5,Other food poisoning (bacterial),2
008.5,"Shigellosis, unspecified",2
008.5,Campylobacter enteritis,2
008.5,Shigella sonnei,2
008.5,Shigellosis due to Shigella flexneri,2
008.5,Food poisoning due to other Clostridia,2
008.5,Other specified bacterial foodborne intoxications,2
038.1,Septicemia due to hemophilus influenzae [H. influenzae],2
038.1,"Streptococcal sepsis, unspecified",2
038.1,Acute meningococcaemia,2
038.1,Streptococcal sepsis,2
038.1,Septicaemic plague,2
038.1,Sepsis due to Haemophilus influenzae,2
038.1,Septicemia due to serratia,2
038.1,Chronic meningococcaemia,2
038.1,Septicemia due to escherichia coli [E. coli],2
038.1,"Sepsis due to streptococcus, group D",2
038.1,Other streptococcal sepsis,2
038.1,Meningococcemia,2
038.1,"Septicemia due to gram-negative organism, unspecified",2
038.1,Sepsis due to other Gram-negative organisms,2
038.1,"Sepsis due to streptococcus, group B",2
038.1,Streptococcal septicemia,2
038.1,Septicemic plague,2
038.1,"Sepsis due to streptococcus, group A",2
038.1,"Meningococcaemia, unspecified",2
038.1,Salmonella sepsis,2
038.1,Salmonella septicemia,2
038.1,Septicemia due to other gram-negative organisms,2
038.1,Other septicemia due to gram-negative organisms,2
038.1,Septicemia due to pseudomonas,2
320,Meningitis due to other organisms,3
320,Streptococcal meningitis,3
320,Mumps meningitis,3
320,"Meningitis, unspecified",3
320,Non-arthropod-borne lymphocytic choriomeningitis,3
320,Staphylococcal meningitis,3
320,Cerebral cryptococcosis,3
320,Meningitis in bacterial diseases classified elsewhere,3
320,Non-arthropod-borne meningitis due to adenovirus,3
320,Meningitis due to other specified bacteria,3
320,Herpes zoster with meningitis,3
320,Mumps meningitis,3
320,Pneumococcal meningitis,3
320,Pneumococcal meningitis,3
320,Lymphocytic choriomeningitis,3
320,Other specified viral meningitis,3
320,Anaerobic meningitis,3
320,Herpesviral meningitis,3
320,Meningitis in mycoses,3
320,Meningococcal meningitis,3
320,Haemophilus meningitis,3
320,Coccidioidal meningitis,3
320,Nonpyogenic meningitis,3
320,Meningitis due to other nonbacterial organisms classified elsewhere,3
320,Meningitis in viral diseases classified elsewhere,3
320,Other bacterial meningitis,3
320,Streptococcal meningitis,3
320,Meningitis due to trypanosomiasis,3
320,"Viral meningitis, unspecified",3
320,Staphylococcal meningitis,3
320,Meningitis due to other specified bacteria,3
320,Coccidioidomycosis meningitis,3
320,Meningitis due to other and unspecified causes,3
320,"Bacterial meningitis, not elsewhere classified",3
320,Meningitis in other fungal diseases,3
320,Meningitis in other bacterial diseases classified elsewhere,3
320,Viral meningitis,3
320,Meningitis due to viruses not elsewhere classified,3
320,Benign recurrent meningitis [Mollaret],3
320,Leptospiral meningitis (aseptic),3
320,Hemophilus meningitis,3
320,Bacterial meningitis,3
320,Eosinophilic meningitis,3
320,Meningitis NOS,3
320,Meningitis of unspecified cause,3
320,Salmonella meningitis,3
320,Viral meningitis NOS,3
320,"Bacterial meningitis, unspecified",3
320,Cryptococcal meningitis,3
320,Chronic meningitis,3
320,Meningococcal meningitis,3
320,Meningitis due to enterovirus,3
320,Varicella meningitis,3
320,Meningitis in other infectious and parasitic diseases classified elsewhere,3
320,"Bacterial meningoencephalitis and meningomyelitis, not elsewhere classified",3
320,Other viral meningitis,3
320,Candidal meningitis,3
320,Nonpyogenic meningitis,3
320,Meningitis due to coxsackie virus,3
320,"Meningitis due to gram-negative bacteria, not elsewhere classified",3
320,Bacterial meningitis NOS,3
320,Zoster meningitis,3
320,Herpes simplex meningitis,3
320,Candidal meningitis,3
320,Enteroviral meningitis,3
320,Meningitis due to ECHO virus,3
320,Chronic meningitis,3
320,Adenoviral meningitis,3
480.1,"Pneumonia due to streptococcus, group B",2
480.1,Pneumonia due to Mycoplasma pneumoniae,2
480.1,Pneumonia due to Hemophilus influenzae [H. influenzae],2
480.1,Other bacterial pneumonia,2
480.1,Legionnaires' disease,2
480.1,Pulmonary nocardiosis,2
480.1,Secondary pneumonic plague,2
480.1,Pneumonia due to Streptococcus Group B,2
480.1,Methicillin resistant pneumonia due to Staphylococcus aureus,2
480.1,Pneumonia in whooping cough,2
480.1,Pneumonia due to Mycoplasma pneumoniae,2
480.1,"Pneumonia due to Streptococcus, unspecified",2
480.1,Pneumonia due to Klebsiella pneumoniae,2
480.1,Pneumonia due to Staphylococcus,2
480.1,Pneumonia due to Klebsiella pneumoniae,2
480.1,Salmonella pneumonia,2
480.1,Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified to other chapters,2
480.1,Q fever,2
480.1,Pneumonia due to other Gram-negative bacteria,2
480.1,Ornithosis with pneumonia,2
480.1,Chlamydial pneumonia,2
480.1,Pneumonia due to escherichia coli [E. coli],2
480.1,Pulmonary mycobacterial infection,2
480.1,Pneumonia due to other specified bacteria,2
480.1,Pneumonia due to other specified bacteria,2
480.1,Pneumonia due to Chlamydia,2
480.1,Pulmonary diseases due to other mycobacteria,2
480.1,Pulmonary tularemia,2
480.1,Pneumonia due to Escherichia coli,2
480.1,Pneumonia due to staphylococcus,2
480.1,Pulmonary actinomycosis,2
480.1,Pneumonia due to Haemophilus influenzae,2
480.1,"Pneumonia due to Staphylococcus, unspecified",2
480.1,Primary pneumonic plague,2
480.1,Pulmonary tularaemia,2
480.1,Pneumonia due to Streptococcus Group A,2
480.1,Bacterial pneumonia NOS,2
480.1,Mycoplasma pneumoniae [M. pneumoniae] as the cause of diseases classified to other chapters,2
480.1,Pulmonary anthrax,2
480.1,Q fever,2
480.1,"Bacterial pneumonia, unspecified",2
480.1,Pneumonic plague,2
480.1,Pneumonia due to Streptococcus,2
480.1,Pneumonia in anthrax,2
480.1,Pulmonary actinomycosis,2
480.1,Other bacterial pneumonia,2
480.1,Pneumonia due to anaerobes,2
480.1,Pneumonia due to other streptococci,2
480.1,Pneumonia due to other gram-negative bacteria,2
480.1,Pulmonary anthrax,2
480.1,Legionnaires disease,2
480.1,Other Staphylococcus pneumonia,2
480.1,Pneumonic plague NOS,2
480.1,Pneumonia due to other Streptococcus,2
711,Arthropathy associated with infections,3
711,Arthropathy involving multiple sites associated with other viral diseases,3
711,Arthropathy involving ankle and foot associated with other bacterial disease,3
711,Arthropathy involving lower leg associated with other infectious and parasitic diseases,3
711,Direct infections of joint in infectious and parasitic diseases classified elsewhere,3
711,Arthropathy involving pelvic region and thigh associated with helminthiasis,3
711,Postmeningococcal arthritis,3
711,Arthropathy involving hand associated with other infectious and parasitic diseases,3
711,"Arthropathy, site unspecified, associated with other bacterial diseases",3
711,Arthropathy involving upper arm associated with helminthiasis,3
711,Arthropathy involving other specified sites associated with other infectious and parasitic diseases,3
711,Postdysenteric arthropathy involving lower leg,3
711,Arthropathy involving ankle and foot associated with mycoses,3
711,Arthropathy involving other specified sites associated with mycoses,3
711,Arthropathy involving ankle and foot associated with other viral diseases,3
711,Postdysenteric arthropathy involving hand,3
711,Postdysenteric arthropathy,3
711,Arthropathy involving lower leg associated with other bacterial diseases,3
711,Arthropathy involving shoulder region associated with other infectious and parasitic diseases,3
711,Arthropathy involving forearm associated with other viral diseases,3
711,Arthropathy involving pelvic region and thigh associated with other viral diseases,3
711,Unspecified infective arthritis involving shoulder region,3
711,Arthritis and polyarthritis due to other specified bacterial agents,3
711,Salmonella arthritis,3
711,Arthropathy involving forearm associated with other bacterial diseases,3
711,"Arthropathy, site unspecified, associated with helminthiasis",3
711,Arthropathy involving multiple sites associated with mycoses,3
711,Arthropathy associated with other bacterial diseases,3
711,Arthropathy involving forearm associated with helminthiasis,3
711,Arthropathy involving upper arm associated with other bacterial diseases,3
711,Unspecified infective arthritis involving forearm,3
711,Other enteropathic arthropathies,3
711,Arthropathy involving pelvic region and thigh associated with other bacterial diseases,3
711,Postdysenteric arthropathy involving pelvic region and thigh,3
711,Arthropathy involving forearm associated with other infectious and parasitic diseases,3
711,Arthritis in Lyme disease,3
711,"Postdysenteric arthropathy, site unspecified",3
711,Arthropathy involving multiple sites associated with other infectious and parasitic diseases,3
711,Arthropathy involving hand associated with other viral diseases,3
711,Postdysenteric arthropathy involving forearm,3
711,Postdysenteric arthropathy,3
711,Arthropathy involving multiple sites associated with other bacterial diseases,3
711,Arthropathy associated with mycoses,3
711,Arthropathy involving lower leg associated with helminthiasis,3
711,Arthropathy involving other specified sites associated with other viral diseases,3
711,Arthropathy involving pelvic region and thigh associated with other infectious and parasitic diseases,3
711,Arthropathy involving other specified sites associated with other bacterial diseases,3
711,Unspecified infective arthritis involving hand,3
711,Arthropathy associated with other infectious and parasitic diseases,3
711,Arthropathy involving hand associated with mycoses,3
711,Arthropathy involving other specified sites associated with helminthiasis,3
711,Meningococcal arthritis,3
711,Unspecified infective arthritis involving ankle and foot,3
711,Arthropathy involving pelvic region and thigh associated with mycoses,3
711,Unspecified infective arthritis involving lower leg,3
711,Postdysenteric arthropathy involving shoulder region,3
711,"Arthropathy, site unspecified, associated with other viral diseases",3
711,Unspecified infective arthritis involving other specified sites,3
711,Gonococcal arthritis,3
711,Arthropathy involving upper arm associated with mycoses,3
711,Meningococcal arthropathy,3
711,Arthropathy involving hand associated with helminthiasis,3
711,Arthropathy involving upper arm associated with other viral diseases,3
711,Arthropathy involving forearm associated with mycoses,3
711,Postdysenteric arthropathy involving ankle and foot,3
711,Postdysenteric arthropathy involving upper arm,3
711,Arthropathy associated with helminthiasis,3
711,Arthritis due to rubella,3
711,"Arthropathy, site unspecified, associated with other infectious and parasitic diseases",3
711,Infective arthritis site unspecified NOS,3
711,Unspecified infective arthritis involving upper arm,3
711,"Arthropathy, site unspecified, associated with mycoses",3
711,Unspecified infective arthritis involving multiple sites,3
711,Arthritis in mycoses,3
711,Streptobacillary fever,3
711,Arthropathy involving ankle and foot associated with helminthiasis,3
711,Arthropathy involving shoulder region associated with mycoses,3
711,Arthropathy involving lower leg associated with other viral diseases,3
711,Arthropathy involving multiple sites associated with helminthiasis,3
711,Unspecified infective arthritis involving pelvic region and thigh,3
711,Other reactive arthropathies,3
711,Postdysenteric arthropathy involving multiple sites,3
711,Arthropathy involving upper arm associated with other infectious and parasitic diseases,3
711,Arthropathy involving ankle and foot associated with other infectious and parasitic diseases,3
711,Rubella arthritis,3
711,Streptobacillosis,3
711,Arthropathy involving hand associated with other bacterial diseases,3
711,Arthropathy involving lower leg associated with mycoses,3
711,Arthropathy involving shoulder region associated with helminthiasis,3
711,Arthropathy involving shoulder region associated with other viral diseases,3
711,Postdysenteric arthropathy involving other specified sites,3
711,Arthropathy involving shoulder region associated with other bacterial diseases,3
711,Arthropathy associated with other viral diseases,3
711,Unspecified infective arthritis,3
710.1,Salmonella osteomyelitis,2
008.7,Cryptosporidiosis,2
008.7,Chronic intestinal amebiasis without mention of abscess,2
008.7,Giardiasis,2
008.7,Other specified protozoal intestinal diseases,2
008.7,Giardiasis [lambliasis],2
008.7,Balantidiasis,2
008.7,Balantidiasis,2
008.7,Cryptosporidiosis,2
008.7,Other specified protozoal intestinal diseases,2
008.7,Chronic intestinal amoebiasis,2
008.51,Intestinal infection due to escherichia coli [E. coli],1
008.51,Enteropathogenic Escherichia coli infection,1
008.51,Enteroinvasive Escherichia coli infection,1
008.51,Intestinal infection due to enteropathogenic E. coli,1
008.51,Enterohaemorrhagic Escherichia coli infection,1
008.51,Intestinal infection due to enterotoxigenic E. coli,1
008.51,Intestinal infection due to unspecified E. coli,1
008.51,Intestinal infection due to enteroinvasive E. coli,1
008.51,Other intestinal Escherichia coli infections,1
008.51,Enterotoxigenic Escherichia coli infection,1
008.51,Other intestinal E. coli infections,1
008.51,Intestinal infection due to enterohemorrhagic E. coli,1
008.52,Intestinal infection due to clostridium difficile,1
008.52,Enterocolitis due to Clostridium difficile,1
008.6,Enteritis due to enterovirus NEC,2
008.6,Enteritis due to rotavirus,2
008.6,Rotaviral enteritis,2
008.6,Enteritis due to astrovirus,2
008.6,Other viral enteritis,2
008.6,Enteritis due to adenovirus,2
008.6,Enteritis due to other small round viruses [SRV's],2
008.6,Acute gastroenteropathy due to Norwalk agent,2
008.6,Adenoviral enteritis,2
008.6,Viral enteritis NOS,2
008.6,Other viral enteritis,2
008.6,Enteritis due to specified virus,2
008.6,Enteritis due to calcivirus,2
008.6,"Viral intestinal infection, unspecified",2
008.6,Viral and other specified intestinal infections,2
008.6,Other specified intestinal infections,2
008.6,Enteritis due to norwalk virus,2
010,"Genitourinary tuberculosis, unspecified",3
010,"Tuberculosis of ear, unspecified examination",3
010,"Isolated tracheal or bronchial tuberculosis, unspecified examination",3
010,"Tuberculoma of brain, unspecified examination",3
010,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",3
010,"Erythema nodosum with hypersensitivity reaction in tuberculosis, bacteriological or histological examination unknown (at present)",3
010,Tuberculosis of skin and subcutaneous tissue,3
010,"Tuberculosis of unspecified bones and joints, bacteriological or histological examination not done",3
010,"Primary tuberculous infection, unspecified type, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",3
010,"Tuberculosis of other female genital organs, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",3
010,"Tuberculosis of limb bones, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",3
010,Tuberculosis of adrenal glands,3
010,Personal history of tuberculosis,3
010,"Tuberculosis of skin and subcutaneous cellular tissue, bacteriological or histological examination not done",3
010,Pulmonary tuberculosis,3
010,"Tuberculous oophoritis and salpingitis, bacteriological or histological examination unknown (at present)",3
010,"Tuberculosis of thyroid gland, tubercle bacilli found (in sputum) by microscopy",3
010,"Other specified tuberculosis of central nervous system, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",3
010,"Tuberculoma of spinal cord, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",3
010,Late effects of tuberculosis of bones and joints,3
010,"Primary tuberculous infection, unspecified type, bacteriological or histological examination unknown (at present)",3
010,Tuberculosis of nervous system,3
010,"Tuberculosis of unspecified bones and joints, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",3
010,"Tuberculosis of intrathoracic lymph nodes, unspecified examination",3
010,"Tuberculous pneumonia [any form], bacteriological or histological examination unknown (at present)",3
010,"Tuberculosis of other female genital organs, bacteriological or histological examination not done",3
010,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",3
010,Tuberculosis of spine,3
010,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",3
010,"Tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy",3
010,Tuberculosis of epididymis,3
010,"Tuberculosis of epididymis, unspecified examination",3
010,"Tuberculous abscess of spinal cord, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",3
010,"Other specified miliary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",3
010,"Tuberculosis of mastoid, tubercle bacilli found (in sputum) by microscopy",3
010,"Tuberculous meningitis, bacteriological or histological examination not done",3
010,"Tuberculosis of ear, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",3
010,"Tuberculosis of bladder, bacteriological or histological examination unknown (at present)",3
010,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination unknown (at present)",3
010,Acute miliary tuberculosis of a single specified site,3
010,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",3
010,"Tuberculosis of thyroid gland, unspecified origin",3
010,"Tuberculosis of lung, nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",3
010,Tuberculoma of meninges,3
010,"Unspecified miliary tuberculosis, bacteriological or histological examination unknown (at present)",3
010,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",3
010,"Tuberculosis of other specified organs, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",3
010,"Other specified respiratory tuberculosis, tubercle bacilli found (in sputum) by microscopy",3
010,"Tuberculosis of esophagus, unspecified examination",3
010,"Tuberculosis of peripheral lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",3
010,"Tuberculosis of adrenal glands, unspecified examination",3
010,"Tuberculosis of spleen, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",3
010,Tuberculosis of esophagus,3
010,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",3
010,"Tuberculous laryngitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",3
010,Tuberculosis of intestines and mesenteric glands,3
010,"Tuberculosis of ear, tubercle bacilli found (in sputum) by microscopy",3
010,Tuberculous meningitis,3
010,"Tuberculosis of lung, bacteriologically and histologically negative",3
010,"Tuberculoma of meninges, unspecified examination",3
010,"Tuberculosis of eye, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",3
010,"Tuberculous encephalitis or myelitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",3
010,"Tuberculosis of vertebral column, bacteriological or histological examination unknown (at present)",3
010,"Tuberculosis of intestines, peritoneum, and mesenteric glands",3
010,"Tuberculosis of lung, nodular, unspecified examination",3
010,"Tuberculous fibrosis of lung, unspecified examination",3
010,"Tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",3
010,Tuberculous laryngitis,3
010,"Other specified pulmonary tuberculosis, unspecified examination",3
010,"Tuberculous peritonitis, tubercle bacilli found (in sputum) by microscopy",3
010,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",3
010,Other specified pulmonary tuberculosis,3
010,"Tuberculous abscess of spinal cord, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",3
010,Tuberculosis of knee,3
010,Tuberculous meningitis unspecified examination,3
010,"Tuberculous encephalitis or myelitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",3
010,"Tuberculosis of mastoid, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",3
010,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",3
010,"Tuberculoma of spinal cord, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",3
010,"Other specified miliary tuberculosis, bacteriological or histological examination unknown (at present)",3
010,"Tuberculosis of epididymis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",3
010,"Tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy",3
010,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",3
010,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",3
010,"Tuberculoma of meninges, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",3
010,"Tuberculosis of eye, tubercle bacilli found (in sputum) by microscopy",3
010,"Tuberculous pneumothorax, unspecified examination",3
010,"Tuberculous bronchiectasis, unspecified examination",3
010,"Unspecified miliary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",3
010,"Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",3
010,"Unspecified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",3
010,"Unspecified genitourinary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",3
010,"Other specified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",3
010,"Primary tuberculous infection, unspecified type, unspecified examination",3
010,"Tuberculous pneumothorax, bacteriological or histological examination not done",3
010,Tuberculosis of limb bones,3
010,"Tuberculosis of epididymis, bacteriological or histological examination not done",3
010,"Tuberculosis of adrenal glands, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",3
010,"Tuberculosis of hip, bacteriological or histological examination unknown (at present)",3
010,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",3
010,"Tuberculosis of ear, bacteriological or histological examination unknown (at present)",3
010,"Tuberculoma of brain, bacteriological or histological examination not done",3
010,"Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",3
010,"Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)",3
010,"Tuberculosis of knee, unspecified examination",3
010,Primary tuberculous infection,3
010,"Tuberculosis of bronchus, unspecified examination",3
010,"Tuberculosis of other urinary organs, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",3
010,"Tuberculosis of ureter, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",3
010,"Tuberculous oophoritis and salpingitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",3
010,Tuberculous arthritis,3
010,"Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",3
010,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",3
010,"Tuberculosis of other male genital organs, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",3
010,"Tuberculosis of bladder, bacteriological or histological examination not done",3
010,"Tuberculosis of limb bones, tubercle bacilli found (in sputum) by microscopy",3
010,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",3
010,Sequelae of tuberculosis of bones and joints,3
010,Tuberculosis of intrathoracic lymph nodes,3
010,"Tuberculous peritonitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",3
010,"Tuberculosis of mastoid, bacteriological or histological examination unknown (at present)",3
010,"Tuberculosis of other urinary organs, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",3
010,Tuberculous fibrosis of lung,3
010,"Tuberculoma of spinal cord, unspecified examination",3
010,"Tuberculosis of other specified joint, bacteriological or histological examination not done",3
010,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",3
010,"Tuberculosis of other specified organs, bacteriological or histological examination not done",3
010,"Acute miliary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",3
010,"Tuberculosis of skin and subcutaneous cellular tissue, tubercle bacilli found (in sputum) by microscopy",3
010,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",3
010,"Primary tuberculous infection, unspecified type, bacteriological or histological examination not done",3
010,"Tuberculosis of ureter, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",3
010,"Primary tuberculous infection, unspecified type, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",3
010,"Tuberculosis of skin and subcutaneous cellular tissue, unspecified examination",3
010,"Other primary progressive tuberculosis, unspecified examination",3
010,"Tuberculosis of other specified bone, bacteriological or histological examination not done",3
010,"Tuberculous pleurisy, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",3
010,"Tuberculous oophoritis and salpingitis, tubercle bacilli found (in sputum) by microscopy",3
