Code Range,CCS,CCS Label
'61343-61343',3,"Laminectomy, excision intervertebral disc"
'62287-62287',3,"Laminectomy, excision intervertebral disc"
'62351-62351',3,"Laminectomy, excision intervertebral disc"
'62380-62380',3,"Laminectomy, excision intervertebral disc"
'63001-63001',3,"Laminectomy, excision intervertebral disc"
'63003-63003',3,"Laminectomy, excision intervertebral disc"
'63005-63005',3,"Laminectomy, excision intervertebral disc"
'63011-63012',3,"Laminectomy, excision intervertebral disc"
'63015-63017',3,"Laminectomy, excision intervertebral disc"
'63020-63020',3,"Laminectomy, excision intervertebral disc"
'63030-63030',3,"Laminectomy, excision intervertebral disc"
'63035-63035',3,"Laminectomy, excision intervertebral disc"
'63040-63040',3,"Laminectomy, excision intervertebral disc"
'63042-63048',3,"Laminectomy, excision intervertebral disc"
'63050-63051',3,"Laminectomy, excision intervertebral disc"
'63055-63057',3,"Laminectomy, excision intervertebral disc"
'63064-63064',3,"Laminectomy, excision intervertebral disc"
'63066-63066',3,"Laminectomy, excision intervertebral disc"
'63075-63078',3,"Laminectomy, excision intervertebral disc"
'63081-63082',3,"Laminectomy, excision intervertebral disc"
'63085-63088',3,"Laminectomy, excision intervertebral disc"
'63090-63091',3,"Laminectomy, excision intervertebral disc"
'63101-63103',3,"Laminectomy, excision intervertebral disc"
'63170-63170',3,"Laminectomy, excision intervertebral disc"
'63172-63173',3,"Laminectomy, excision intervertebral disc"
'63185-63185',3,"Laminectomy, excision intervertebral disc"
'63190-63191',3,"Laminectomy, excision intervertebral disc"
'63194-63199',3,"Laminectomy, excision intervertebral disc"
'63200-63200',3,"Laminectomy, excision intervertebral disc"
'63250-63252',3,"Laminectomy, excision intervertebral disc"
'63655-63655',3,"Laminectomy, excision intervertebral disc"
'63709-63709',3,"Laminectomy, excision intervertebral disc"
'63740-63740',3,"Laminectomy, excision intervertebral disc"
'C9757-C9757',3,"Laminectomy, excision intervertebral disc"
'G0276-G0276',3,"Laminectomy, excision intervertebral disc"
'S2348-S2348',3,"Laminectomy, excision intervertebral disc"
'S2350-S2350',3,"Laminectomy, excision intervertebral disc"
'S2351-S2351',3,"Laminectomy, excision intervertebral disc"
'62270-62270',4,Diagnostic spinal tap
'62272-62272',4,Diagnostic spinal tap
'62328-62329',4,Diagnostic spinal tap
'62263-62264',5,Insertion of catheter or spinal stimulator and injection into spinal canal
'62280-62282',5,Insertion of catheter or spinal stimulator and injection into spinal canal
'62320-62327',5,Insertion of catheter or spinal stimulator and injection into spinal canal
'62350-62350',5,Insertion of catheter or spinal stimulator and injection into spinal canal
'62355-62355',5,Insertion of catheter or spinal stimulator and injection into spinal canal
'63600-63600',5,Insertion of catheter or spinal stimulator and injection into spinal canal
'63610-63610',5,Insertion of catheter or spinal stimulator and injection into spinal canal
'63650-63650',5,Insertion of catheter or spinal stimulator and injection into spinal canal
'63661-63664',5,Insertion of catheter or spinal stimulator and injection into spinal canal
'63685-63685',5,Insertion of catheter or spinal stimulator and injection into spinal canal
'63688-63688',5,Insertion of catheter or spinal stimulator and injection into spinal canal
'64416-64416',5,Insertion of catheter or spinal stimulator and injection into spinal canal
'64446-64446',5,Insertion of catheter or spinal stimulator and injection into spinal canal
'64448-64449',5,Insertion of catheter or spinal stimulator and injection into spinal canal
'64461-64463',5,Insertion of catheter or spinal stimulator and injection into spinal canal
'64479-64479',5,Insertion of catheter or spinal stimulator and injection into spinal canal
'64480-64480',5,Insertion of catheter or spinal stimulator and injection into spinal canal
'64483-64484',5,Insertion of catheter or spinal stimulator and injection into spinal canal
'28035-28035',6,Decompression peripheral nerve
'29848-29848',6,Decompression peripheral nerve
'64702-64702',6,Decompression peripheral nerve
'64704-64704',6,Decompression peripheral nerve
'64708-64708',6,Decompression peripheral nerve
'64712-64714',6,Decompression peripheral nerve
'64716-64716',6,Decompression peripheral nerve
'64718-64719',6,Decompression peripheral nerve
'64721-64722',6,Decompression peripheral nerve
'64726-64727',6,Decompression peripheral nerve
'0106T-0106T',7,Other diagnostic nervous system procedures
'0107T-0107T',7,Other diagnostic nervous system procedures
'0108T-0108T',7,Other diagnostic nervous system procedures
'0109T-0109T',7,Other diagnostic nervous system procedures
'0110T-0110T',7,Other diagnostic nervous system procedures
'0333T-0333T',7,Other diagnostic nervous system procedures
'0434T-0434T',7,Other diagnostic nervous system procedures
'0435T-0435T',7,Other diagnostic nervous system procedures
'0436T-0436T',7,Other diagnostic nervous system procedures
'0533T-0533T',7,Other diagnostic nervous system procedures
'0534T-0534T',7,Other diagnostic nervous system procedures
'0535T-0535T',7,Other diagnostic nervous system procedures
'0536T-0536T',7,Other diagnostic nervous system procedures
'0589T-0589T',7,Other diagnostic nervous system procedures
'0590T-0590T',7,Other diagnostic nervous system procedures
'0639T-0639T',7,Other diagnostic nervous system procedures
'61140-61140',7,Other diagnostic nervous system procedures
'61750-61751',7,Other diagnostic nervous system procedures
'62267-62267',7,Other diagnostic nervous system procedures
'62269-62269',7,Other diagnostic nervous system procedures
'64795-64795',7,Other diagnostic nervous system procedures
'92516-92516',7,Other diagnostic nervous system procedures
'95782-95783',7,Other diagnostic nervous system procedures
'95800-95801',7,Other diagnostic nervous system procedures
'95803-95803',7,Other diagnostic nervous system procedures
'95805-95808',7,Other diagnostic nervous system procedures
'95810-95811',7,Other diagnostic nervous system procedures
'95836-95836',7,Other diagnostic nervous system procedures
'95857-95857',7,Other diagnostic nervous system procedures
'95860-95861',7,Other diagnostic nervous system procedures
'95863-95869',7,Other diagnostic nervous system procedures
'95870-95870',7,Other diagnostic nervous system procedures
'95872-95872',7,Other diagnostic nervous system procedures
'95874-95875',7,Other diagnostic nervous system procedures
'95885-95887',7,Other diagnostic nervous system procedures
'95905-95905',7,Other diagnostic nervous system procedures
'95907-95909',7,Other diagnostic nervous system procedures
'95910-95913',7,Other diagnostic nervous system procedures
'95921-95929',7,Other diagnostic nervous system procedures
'95930-95930',7,Other diagnostic nervous system procedures
'95933-95933',7,Other diagnostic nervous system procedures
'95937-95939',7,Other diagnostic nervous system procedures
'95940-95941',7,Other diagnostic nervous system procedures
'95943-95943',7,Other diagnostic nervous system procedures
'95965-95967',7,Other diagnostic nervous system procedures
'95970-95972',7,Other diagnostic nervous system procedures
'95976-95977',7,Other diagnostic nervous system procedures
'95980-95984',7,Other diagnostic nervous system procedures
'95999-95999',7,Other diagnostic nervous system procedures
'96000-96004',7,Other diagnostic nervous system procedures
'96020-96020',7,Other diagnostic nervous system procedures
'96112-96113',7,Other diagnostic nervous system procedures
'G0255-G0255',7,Other diagnostic nervous system procedures
'G0398-G0398',7,Other diagnostic nervous system procedures
'G0399-G0399',7,Other diagnostic nervous system procedures
'G0400-G0400',7,Other diagnostic nervous system procedures
'G0453-G0453',7,Other diagnostic nervous system procedures
'S3900-S3900',7,Other diagnostic nervous system procedures
'S8040-S8040',7,Other diagnostic nervous system procedures
'0278T-0278T',8,Other non-OR or closed therapeutic nervous system procedures
'0398T-0398T',8,Other non-OR or closed therapeutic nervous system procedures
'0440T-0440T',8,Other non-OR or closed therapeutic nervous system procedures
'0441T-0441T',8,Other non-OR or closed therapeutic nervous system procedures
'0442T-0442T',8,Other non-OR or closed therapeutic nervous system procedures
'0627T-0627T',8,Other non-OR or closed therapeutic nervous system procedures
'0628T-0628T',8,Other non-OR or closed therapeutic nervous system procedures
'0629T-0629T',8,Other non-OR or closed therapeutic nervous system procedures
'0630T-0630T',8,Other non-OR or closed therapeutic nervous system procedures
'22505-22505',8,Other non-OR or closed therapeutic nervous system procedures
'61070-61070',8,Other non-OR or closed therapeutic nervous system procedures
'61796-61796',8,Other non-OR or closed therapeutic nervous system procedures
'61798-61798',8,Other non-OR or closed therapeutic nervous system procedures
'62268-62268',8,Other non-OR or closed therapeutic nervous system procedures
'62273-62273',8,Other non-OR or closed therapeutic nervous system procedures
'62292-62292',8,Other non-OR or closed therapeutic nervous system procedures
'62369-62369',8,Other non-OR or closed therapeutic nervous system procedures
'62370-62370',8,Other non-OR or closed therapeutic nervous system procedures
'63620-63620',8,Other non-OR or closed therapeutic nervous system procedures
'64400-64400',8,Other non-OR or closed therapeutic nervous system procedures
'64405-64405',8,Other non-OR or closed therapeutic nervous system procedures
'64408-64408',8,Other non-OR or closed therapeutic nervous system procedures
'64415-64415',8,Other non-OR or closed therapeutic nervous system procedures
'64417-64418',8,Other non-OR or closed therapeutic nervous system procedures
'64420-64421',8,Other non-OR or closed therapeutic nervous system procedures
'64425-64425',8,Other non-OR or closed therapeutic nervous system procedures
'64430-64430',8,Other non-OR or closed therapeutic nervous system procedures
'64435-64435',8,Other non-OR or closed therapeutic nervous system procedures
'64445-64445',8,Other non-OR or closed therapeutic nervous system procedures
'64447-64447',8,Other non-OR or closed therapeutic nervous system procedures
'64450-64451',8,Other non-OR or closed therapeutic nervous system procedures
'64454-64455',8,Other non-OR or closed therapeutic nervous system procedures
'64486-64489',8,Other non-OR or closed therapeutic nervous system procedures
'64490-64495',8,Other non-OR or closed therapeutic nervous system procedures
'64505-64505',8,Other non-OR or closed therapeutic nervous system procedures
'64510-64510',8,Other non-OR or closed therapeutic nervous system procedures
'64517-64517',8,Other non-OR or closed therapeutic nervous system procedures
'64520-64520',8,Other non-OR or closed therapeutic nervous system procedures
'64530-64530',8,Other non-OR or closed therapeutic nervous system procedures
'64600-64600',8,Other non-OR or closed therapeutic nervous system procedures
'64605-64605',8,Other non-OR or closed therapeutic nervous system procedures
'64610-64612',8,Other non-OR or closed therapeutic nervous system procedures
'64615-64617',8,Other non-OR or closed therapeutic nervous system procedures
'64620-64620',8,Other non-OR or closed therapeutic nervous system procedures
'64624-64625',8,Other non-OR or closed therapeutic nervous system procedures
'64630-64630',8,Other non-OR or closed therapeutic nervous system procedures
'64632-64633',8,Other non-OR or closed therapeutic nervous system procedures
'64635-64635',8,Other non-OR or closed therapeutic nervous system procedures
'64640-64640',8,Other non-OR or closed therapeutic nervous system procedures
'64642-64642',8,Other non-OR or closed therapeutic nervous system procedures
'64644-64644',8,Other non-OR or closed therapeutic nervous system procedures
'64646-64647',8,Other non-OR or closed therapeutic nervous system procedures
'64680-64681',8,Other non-OR or closed therapeutic nervous system procedures
'64999-64999',8,Other non-OR or closed therapeutic nervous system procedures
'95873-95873',8,Other non-OR or closed therapeutic nervous system procedures
'95990-95992',8,Other non-OR or closed therapeutic nervous system procedures
'S9090-S9090',8,Other non-OR or closed therapeutic nervous system procedures
'0338T-0338T',9,Other OR therapeutic nervous system procedures
'0339T-0339T',9,Other OR therapeutic nervous system procedures
'0424T-0424T',9,Other OR therapeutic nervous system procedures
'0425T-0425T',9,Other OR therapeutic nervous system procedures
'0426T-0426T',9,Other OR therapeutic nervous system procedures
'0427T-0427T',9,Other OR therapeutic nervous system procedures
'0428T-0428T',9,Other OR therapeutic nervous system procedures
'0429T-0429T',9,Other OR therapeutic nervous system procedures
'0430T-0430T',9,Other OR therapeutic nervous system procedures
'0431T-0431T',9,Other OR therapeutic nervous system procedures
'0432T-0432T',9,Other OR therapeutic nervous system procedures
'0433T-0433T',9,Other OR therapeutic nervous system procedures
'0466T-0466T',9,Other OR therapeutic nervous system procedures
'0467T-0467T',9,Other OR therapeutic nervous system procedures
'0468T-0468T',9,Other OR therapeutic nervous system procedures
'0587T-0587T',9,Other OR therapeutic nervous system procedures
'0588T-0588T',9,Other OR therapeutic nervous system procedures
'0609T-0609T',9,Other OR therapeutic nervous system procedures
'0610T-0610T',9,Other OR therapeutic nervous system procedures
'0611T-0611T',9,Other OR therapeutic nervous system procedures
'0612T-0612T',9,Other OR therapeutic nervous system procedures
'22526-22527',9,Other OR therapeutic nervous system procedures
'27003-27003',9,Other OR therapeutic nervous system procedures
'27035-27035',9,Other OR therapeutic nervous system procedures
'27325-27326',9,Other OR therapeutic nervous system procedures
'28055-28055',9,Other OR therapeutic nervous system procedures
'28080-28080',9,Other OR therapeutic nervous system procedures
'32664-32664',9,Other OR therapeutic nervous system procedures
'61450-61450',9,Other OR therapeutic nervous system procedures
'61458-61458',9,Other OR therapeutic nervous system procedures
'61460-61460',9,Other OR therapeutic nervous system procedures
'61500-61501',9,Other OR therapeutic nervous system procedures
'61531-61531',9,Other OR therapeutic nervous system procedures
'61533-61533',9,Other OR therapeutic nervous system procedures
'61550-61550',9,Other OR therapeutic nervous system procedures
'61552-61552',9,Other OR therapeutic nervous system procedures
'61558-61559',9,Other OR therapeutic nervous system procedures
'61563-61564',9,Other OR therapeutic nervous system procedures
'61566-61567',9,Other OR therapeutic nervous system procedures
'61580-61581',9,Other OR therapeutic nervous system procedures
'61618-61619',9,Other OR therapeutic nervous system procedures
'61760-61760',9,Other OR therapeutic nervous system procedures
'61770-61770',9,Other OR therapeutic nervous system procedures
'61781-61783',9,Other OR therapeutic nervous system procedures
'61790-61791',9,Other OR therapeutic nervous system procedures
'61797-61797',9,Other OR therapeutic nervous system procedures
'61799-61799',9,Other OR therapeutic nervous system procedures
'61800-61800',9,Other OR therapeutic nervous system procedures
'61850-61850',9,Other OR therapeutic nervous system procedures
'61860-61860',9,Other OR therapeutic nervous system procedures
'61863-61864',9,Other OR therapeutic nervous system procedures
'61867-61868',9,Other OR therapeutic nervous system procedures
'62100-62100',9,Other OR therapeutic nervous system procedures
'62115-62115',9,Other OR therapeutic nervous system procedures
'62117-62117',9,Other OR therapeutic nervous system procedures
'62120-62121',9,Other OR therapeutic nervous system procedures
'62140-62143',9,Other OR therapeutic nervous system procedures
'62145-62148',9,Other OR therapeutic nervous system procedures
'62294-62294',9,Other OR therapeutic nervous system procedures
'62360-62362',9,Other OR therapeutic nervous system procedures
'62365-62365',9,Other OR therapeutic nervous system procedures
'63265-63268',9,Other OR therapeutic nervous system procedures
'63270-63273',9,Other OR therapeutic nervous system procedures
'63275-63278',9,Other OR therapeutic nervous system procedures
'63280-63283',9,Other OR therapeutic nervous system procedures
'63285-63287',9,Other OR therapeutic nervous system procedures
'63290-63290',9,Other OR therapeutic nervous system procedures
'63295-63295',9,Other OR therapeutic nervous system procedures
'63300-63308',9,Other OR therapeutic nervous system procedures
'63621-63621',9,Other OR therapeutic nervous system procedures
'63700-63700',9,Other OR therapeutic nervous system procedures
'63702-63702',9,Other OR therapeutic nervous system procedures
'63704-63704',9,Other OR therapeutic nervous system procedures
'63706-63707',9,Other OR therapeutic nervous system procedures
'63710-63710',9,Other OR therapeutic nervous system procedures
'63741-63741',9,Other OR therapeutic nervous system procedures
'63744-63744',9,Other OR therapeutic nervous system procedures
'63746-63746',9,Other OR therapeutic nervous system procedures
'64553-64553',9,Other OR therapeutic nervous system procedures
'64555-64555',9,Other OR therapeutic nervous system procedures
'64561-64561',9,Other OR therapeutic nervous system procedures
'64566-64566',9,Other OR therapeutic nervous system procedures
'64568-64569',9,Other OR therapeutic nervous system procedures
'64570-64570',9,Other OR therapeutic nervous system procedures
'64575-64575',9,Other OR therapeutic nervous system procedures
'64580-64581',9,Other OR therapeutic nervous system procedures
'64585-64585',9,Other OR therapeutic nervous system procedures
'64590-64590',9,Other OR therapeutic nervous system procedures
'64595-64595',9,Other OR therapeutic nervous system procedures
'64634-64634',9,Other OR therapeutic nervous system procedures
'64636-64636',9,Other OR therapeutic nervous system procedures
'64643-64643',9,Other OR therapeutic nervous system procedures
'64645-64645',9,Other OR therapeutic nervous system procedures
'64732-64732',9,Other OR therapeutic nervous system procedures
'64734-64734',9,Other OR therapeutic nervous system procedures
'64736-64736',9,Other OR therapeutic nervous system procedures
'64738-64738',9,Other OR therapeutic nervous system procedures
'64740-64740',9,Other OR therapeutic nervous system procedures
'64742-64742',9,Other OR therapeutic nervous system procedures
'64744-64744',9,Other OR therapeutic nervous system procedures
'64746-64746',9,Other OR therapeutic nervous system procedures
'64755-64755',9,Other OR therapeutic nervous system procedures
'64760-64760',9,Other OR therapeutic nervous system procedures
'64763-64763',9,Other OR therapeutic nervous system procedures
'64766-64766',9,Other OR therapeutic nervous system procedures
'64771-64772',9,Other OR therapeutic nervous system procedures
'64774-64774',9,Other OR therapeutic nervous system procedures
'64776-64776',9,Other OR therapeutic nervous system procedures
'64778-64778',9,Other OR therapeutic nervous system procedures
'64782-64784',9,Other OR therapeutic nervous system procedures
'64786-64788',9,Other OR therapeutic nervous system procedures
'64790-64790',9,Other OR therapeutic nervous system procedures
'64792-64792',9,Other OR therapeutic nervous system procedures
'64802-64802',9,Other OR therapeutic nervous system procedures
'64804-64804',9,Other OR therapeutic nervous system procedures
'64809-64809',9,Other OR therapeutic nervous system procedures
'64818-64818',9,Other OR therapeutic nervous system procedures
'64820-64823',9,Other OR therapeutic nervous system procedures
'64831-64832',9,Other OR therapeutic nervous system procedures
'64834-64837',9,Other OR therapeutic nervous system procedures
'64840-64840',9,Other OR therapeutic nervous system procedures
'64856-64859',9,Other OR therapeutic nervous system procedures
'64861-64862',9,Other OR therapeutic nervous system procedures
'64864-64866',9,Other OR therapeutic nervous system procedures
'64868-64868',9,Other OR therapeutic nervous system procedures
'64872-64872',9,Other OR therapeutic nervous system procedures
'64874-64874',9,Other OR therapeutic nervous system procedures
'64876-64876',9,Other OR therapeutic nervous system procedures
'64885-64886',9,Other OR therapeutic nervous system procedures
'64890-64893',9,Other OR therapeutic nervous system procedures
'64895-64898',9,Other OR therapeutic nervous system procedures
'64901-64902',9,Other OR therapeutic nervous system procedures
'64905-64905',9,Other OR therapeutic nervous system procedures
'64907-64907',9,Other OR therapeutic nervous system procedures
'64910-64913',9,Other OR therapeutic nervous system procedures
'67570-67570',9,Other OR therapeutic nervous system procedures
'69720-69720',9,Other OR therapeutic nervous system procedures
'69725-69725',9,Other OR therapeutic nervous system procedures
'69740-69740',9,Other OR therapeutic nervous system procedures
'69745-69745',9,Other OR therapeutic nervous system procedures
'69955-69955',9,Other OR therapeutic nervous system procedures
'C9752-C9752',9,Other OR therapeutic nervous system procedures
'C9753-C9753',9,Other OR therapeutic nervous system procedures
'S2235-S2235',9,Other OR therapeutic nervous system procedures
'60210-60210',10,"Thyroidectomy, partial or complete"
'60212-60212',10,"Thyroidectomy, partial or complete"
'60220-60220',10,"Thyroidectomy, partial or complete"
'60225-60225',10,"Thyroidectomy, partial or complete"
'60240-60240',10,"Thyroidectomy, partial or complete"
'60252-60252',10,"Thyroidectomy, partial or complete"
'60254-60254',10,"Thyroidectomy, partial or complete"
'60260-60260',10,"Thyroidectomy, partial or complete"
'60270-60271',10,"Thyroidectomy, partial or complete"
'0446T-0446T',11,Diagnostic endocrine procedures
'0447T-0447T',11,Diagnostic endocrine procedures
'0448T-0448T',11,Diagnostic endocrine procedures
'60100-60100',11,Diagnostic endocrine procedures
'95249-95249',11,Diagnostic endocrine procedures
'95250-95251',11,Diagnostic endocrine procedures
'32673-32673',12,Other therapeutic endocrine procedures
'60000-60000',12,Other therapeutic endocrine procedures
'60200-60200',12,Other therapeutic endocrine procedures
'60280-60281',12,Other therapeutic endocrine procedures
'60300-60300',12,Other therapeutic endocrine procedures
'60500-60500',12,Other therapeutic endocrine procedures
'60502-60502',12,Other therapeutic endocrine procedures
'60505-60505',12,Other therapeutic endocrine procedures
'60512-60512',12,Other therapeutic endocrine procedures
'60520-60522',12,Other therapeutic endocrine procedures
'60540-60540',12,Other therapeutic endocrine procedures
'60545-60545',12,Other therapeutic endocrine procedures
'60650-60650',12,Other therapeutic endocrine procedures
'60659-60659',12,Other therapeutic endocrine procedures
'60699-60699',12,Other therapeutic endocrine procedures
'61546-61546',12,Other therapeutic endocrine procedures
'61548-61548',12,Other therapeutic endocrine procedures
'62165-62165',12,Other therapeutic endocrine procedures
'79005-79005',12,Other therapeutic endocrine procedures
'0290T-0290T',13,Corneal transplant
'65710-65710',13,Corneal transplant
'65730-65730',13,Corneal transplant
'65750-65750',13,Corneal transplant
'65755-65757',13,Corneal transplant
'0191T-0191T',14,Glaucoma procedures
'0253T-0253T',14,Glaucoma procedures
'0449T-0449T',14,Glaucoma procedures
'0450T-0450T',14,Glaucoma procedures
'0621T-0621T',14,Glaucoma procedures
'0622T-0622T',14,Glaucoma procedures
'65820-65820',14,Glaucoma procedures
'65850-65850',14,Glaucoma procedures
'65855-65855',14,Glaucoma procedures
'66150-66150',14,Glaucoma procedures
'66155-66155',14,Glaucoma procedures
'66160-66160',14,Glaucoma procedures
'66170-66170',14,Glaucoma procedures
'66172-66172',14,Glaucoma procedures
'66174-66175',14,Glaucoma procedures
'66179-66179',14,Glaucoma procedures
'66180-66180',14,Glaucoma procedures
'66183-66185',14,Glaucoma procedures
'66700-66700',14,Glaucoma procedures
'66710-66711',14,Glaucoma procedures
'66720-66720',14,Glaucoma procedures
'66740-66740',14,Glaucoma procedures
'66761-66761',14,Glaucoma procedures
'0308T-0308T',15,Lens and cataract procedures
'0617T-0617T',15,Lens and cataract procedures
'0618T-0618T',15,Lens and cataract procedures
'65920-65920',15,Lens and cataract procedures
'66820-66821',15,Lens and cataract procedures
'66825-66825',15,Lens and cataract procedures
'66830-66830',15,Lens and cataract procedures
'66840-66840',15,Lens and cataract procedures
'66850-66850',15,Lens and cataract procedures
'66852-66852',15,Lens and cataract procedures
'66920-66920',15,Lens and cataract procedures
'66930-66930',15,Lens and cataract procedures
'66940-66940',15,Lens and cataract procedures
'66982-66988',15,Lens and cataract procedures
'67039-67039',16,"Repair of retinal tear, detachment"
'67040-67040',16,"Repair of retinal tear, detachment"
'67101-67101',16,"Repair of retinal tear, detachment"
'67105-67105',16,"Repair of retinal tear, detachment"
'67107-67108',16,"Repair of retinal tear, detachment"
'67110-67110',16,"Repair of retinal tear, detachment"
'67113-67113',16,"Repair of retinal tear, detachment"
'67141-67141',16,"Repair of retinal tear, detachment"
'67145-67145',16,"Repair of retinal tear, detachment"
'67208-67208',17,Destruction of lesion of retina and choroid
'67210-67210',17,Destruction of lesion of retina and choroid
'67218-67218',17,Destruction of lesion of retina and choroid
'67220-67221',17,Destruction of lesion of retina and choroid
'67225-67225',17,Destruction of lesion of retina and choroid
'67227-67229',17,Destruction of lesion of retina and choroid
'G0186-G0186',17,Destruction of lesion of retina and choroid
'0329T-0329T',18,Diagnostic procedures on eye
'0330T-0330T',18,Diagnostic procedures on eye
'0615T-0615T',18,Diagnostic procedures on eye
'65410-65410',18,Diagnostic procedures on eye
'65430-65430',18,Diagnostic procedures on eye
'65800-65800',18,Diagnostic procedures on eye
'67346-67346',18,Diagnostic procedures on eye
'67400-67400',18,Diagnostic procedures on eye
'67415-67415',18,Diagnostic procedures on eye
'67450-67450',18,Diagnostic procedures on eye
'67810-67810',18,Diagnostic procedures on eye
'68100-68100',18,Diagnostic procedures on eye
'68510-68510',18,Diagnostic procedures on eye
'68525-68525',18,Diagnostic procedures on eye
'92145-92145',18,Diagnostic procedures on eye
'S0620-S0620',18,Diagnostic procedures on eye
'S0621-S0621',18,Diagnostic procedures on eye
'S3000-S3000',18,Diagnostic procedures on eye
'0207T-0207T',19,"Other therapeutic procedures on eyelids, conjunctiva, cornea"
'0402T-0402T',19,"Other therapeutic procedures on eyelids, conjunctiva, cornea"
'0563T-0563T',19,"Other therapeutic procedures on eyelids, conjunctiva, cornea"
'13151-13153',19,"Other therapeutic procedures on eyelids, conjunctiva, cornea"
'15820-15823',19,"Other therapeutic procedures on eyelids, conjunctiva, cornea"
'65210-65210',19,"Other therapeutic procedures on eyelids, conjunctiva, cornea"
'65270-65270',19,"Other therapeutic procedures on eyelids, conjunctiva, cornea"
'65272-65273',19,"Other therapeutic procedures on eyelids, conjunctiva, cornea"
'65275-65275',19,"Other therapeutic procedures on eyelids, conjunctiva, cornea"
'65280-65280',19,"Other therapeutic procedures on eyelids, conjunctiva, cornea"
'65285-65286',19,"Other therapeutic procedures on eyelids, conjunctiva, cornea"
'65400-65400',19,"Other therapeutic procedures on eyelids, conjunctiva, cornea"
'65420-65420',19,"Other therapeutic procedures on eyelids, conjunctiva, cornea"
'65426-65426',19,"Other therapeutic procedures on eyelids, conjunctiva, cornea"
'65435-65436',19,"Other therapeutic procedures on eyelids, conjunctiva, cornea"
'65450-65450',19,"Other therapeutic procedures on eyelids, conjunctiva, cornea"
'65600-65600',19,"Other therapeutic procedures on eyelids, conjunctiva, cornea"
'65760-65760',19,"Other therapeutic procedures on eyelids, conjunctiva, cornea"
'65765-65765',19,"Other therapeutic procedures on eyelids, conjunctiva, cornea"
'65767-65767',19,"Other therapeutic procedures on eyelids, conjunctiva, cornea"
'65770-65772',19,"Other therapeutic procedures on eyelids, conjunctiva, cornea"
'65775-65775',19,"Other therapeutic procedures on eyelids, conjunctiva, cornea"
