CPT code,String,Layer
3021F,LEFT VENTRICULAR EJECTION FRACTION <40%,1
3093F,DOC NEW DIAG DX INIT/RECURRENT EPISODE OF MDD,1
3120F,12-LEAD ECG PERFORMED,1
3142F,BARIUM SWALLOW TEST ORDERED,1
3155F,CYTOGEN TEST DONE MARROW DIAG OR PRIOR TXMNT,1
4012F,WARFARIN THERAPY PRESCRIBED,1
4014F,DSCHRG INSTRUCTIONS HRT FAILURE XCP PTS 18 YR,1
4015F,PRSISTENT ASTHMA LONG TERM CTRL MED PRESCRIBED,1
4047F,DOC ORDER ANTIBIO GIVEN W/IN 1 HR PRIOR SURG/INC,1
4115F,BETA BLOCKER GIVEN W/IN 24 HRS PRIOR SURG INC,1
0098T,REVJ TOT DISC ARTHRP ANT APPR CRV EA NTRSPC,1
0165T,REVJ TOT DISC ARTHRP ANT APPR LMBR EA NTRSPC,1
70555,MRI BRAIN FUNCTIONAL W/PHYSICIAN ADMNISTRATION,1
50592,ABLTJ 1/> RENAL TUMOR PRQ UNI RADIOFREQUENCY,1
49325,LAPS W/REVISION INTRAPERITONEAL CATHETER,1
1070F,ALARM SYMPTOMS ASSESSED NONE PRESENT,1
4095F,PATIENT NOT RECEIVING ERYTHORPOIETIN THERAPY,1
15201,FTH/GFT FR W/DIR CLSR TRNK EA ADDL 20 CM/<,1
19361,BRST RCNSTJ W/LATSMS D/SI FLAP WO PRSTHC IMPL,1
20930,ALLOGRAFT FOR SPINE SURGERY ONLY MORSELIZED,1
20985,CPTR-ASST SURGICAL NAVIGATION IMAGE-LESS,1
22857,TOT DISC ARTHRP ART DISC ANT APPRO 1 NTRSPC LMBR,1
27267,CLOSED TX FEMORAL FRACTURE PROX HEAD W/O MANJ,1
27416,OSTEOCHONDRAL AUTOGRAFT KNEE OPEN MOSAICPLASTY,1
27767,CLOSED TREATMENT PST MALLEOLUS FRACTURE W/O MANJ,1
28446,OPEN OSTEOCHONDRAL AUTOGRAFT TALUS,1
31531,LARYNGOSCOPY FOREIGN BODY RMVL MICRO/TELESCOPE,1
31571,LARGSC W/NJX VOCAL CORD THER W/MICRO/TELESCOPE,1
33768,ANASTOMOSIS CAVOPULMARY 2ND SUPRIOR VENA CAVA,1
35302,TEAEC W/GRAFT SUPERFICIAL FEMORAL ARTERY,1
36591,COLLECT BLOOD FROM IMPLANT VENOUS ACCESS DEVICE,1
37718,LIGJ DIVJ & STRIPPING SHORT SAPHENOUS VEIN,1
45402,LAPAROSCOPY PROCTOPEXY PROLAPSE SIGMOID RESCJ,1
46505,CHEMODENERVATION INTERNAL ANAL SPHINCTER,1
46710,RPR ILEOANAL POUCH FSTL/POUCH ADVMNT TPRNL APPR,1
49203,EXCISION/DESTRUCTION OPEN ABDOMINAL TUMOR 5 CM/<,1
49205,EXC/DESTRUCTION OPEN ABDOMINAL TUMORS >10.0 CM,1
49452,REPLACEMENT GASTRO-JEJUNOSTOMY TUBE PERCUTANEOUS,1
54161,CIRCUMCISION AGE >28 DAYS,1
56442,HYMENOTOMY SIMPLE INCISION,1
58543,LAPS SUPRACERVICAL HYSTERECTOMY >250,1
58957,RESECJ RECUR OVARIAN/TUBAL/PERITONEAL MALIGNANCY,1
67229,EXTENSIVE RETINOPATHY 1/> SESS PRETERM INFANT,1
80048,BASIC METABOLIC PANEL CALCIUM TOTAL,1
87808,IAADIADOO TRICHOMONAS VAGINALIS,1
89331,SPERM EVALUATION RETROGRADE EJACULATION URINE,1
92626,EVALUATION AUDITORY REHAB STATUS 1ST HR,1
96020,TEST SELECT & ADMN FUNCTL BRAIN MAP PHYS/QHP,1
99252,INITIAL INPATIENT CONSULT NEW/ESTAB PT 40 MIN,1
99253,INITIAL INPATIENT CONSULT NEW/ESTAB PT 55 MIN,1
99328,DOM/R-HOME E/M NEW PT SIGNIF NEW PROB 75 MINUTES,1
99337,DOM/R-HOME E/M EST PT SIGNIF NEW PROB 60 MINUTES,1
0005F,OSTEOARTHRITIS COMPOSITE,1
1035F,CURRENT SMOKELESS TOBACCO USER,1
1060F,DOC PERM/PERSISTENT/PAROXYSMAL ATRIAL FIB,1
1071F,ALARM SYMPTOMS ASSESSED 1/> PRESENT,1
2004F,INITIAL EXAMINATION INVOLVED JOINTS,1
2018F,HYDRATION STATUS ASSESSED,1
2024F,7 STANDARD FIELD STEREOSCOPIC PHOTOS W/INTERPJ,1
3023F,SPIROMETRY RESULTS DOCUMENTED AND REVIEWED,1
3096F,CENTRAL DUAL ENERGY ABSORPTIOMETRY ORDERED,1
3130F,UPPER GI ENDOSCOPY PERFORMED,1
4017F,GI PROPHYLAXIS NSAID USE PRESCRIBED,1
4046F,DOCD ANTIBIO W/IN 4 HRS PRIOR/INTRAOP SURG INCIS,1
5005F,COUNSEL NEW/CHANGING MOLES SELF-EXAMINATION,1
6010F,DYSPHAGIA SCREENING PRIOR ORAL INTAKE,1
0100T,PLMT SCJNCL RTA PROSTH&PLS&IMPLTJ INTRA-OC RTA,1
0106T,QUANT SENSORY TEST&INTERPJ/XTR W/TOUCH STIMULI,1
0163T,TOT DISC ARTHRP ANT APPR DSKC PREP LMBR EA,1
3006F,CHEST X-RAY RESULTS DOCUMENTED & REVIEWED,1
00625,ANES THRC SPINE & CORD ANT APPR W/O 1 LUNG VENTJ,1
15040,HARVEST SKIN TISSUE CLTR SKIN AGRFT 100 CM/<,1
15135,DERMAL AUTOGRAFT F/S/N/H/F/G/M/D GT 1ST 100,1
15240,FTH/GFT FR W/DIR CLSR F/C/C/M/N/AX/G/H/F 20 CM/<,1
15847,EXCISION EXCESSIVE SKIN & SUBQ TISSUE ABDOMEN,1
19300,MASTECTOMY GYNECOMASTIA,1
20931,ALLOGRAFT FOR SPINE SURGERY ONLY STRUCTURAL,1
20937,AUTOGRAFT SPINE SURGERY MORSELIZED SEP INCISION,1
25608,OPTX DSTL RADL I-ARTIC FX/EPIPHYSL SEP 2 FRAG,1
27726,REPAIR FIBULA NONUNION/MALUNION W/INT FIXATION,1
27762,CLTX MEDIAL MALLS FX W/MANJ W/WO SKN/SKEL TRACJ,1
33864,ASCENDING AORTA GRF VALVE SPARE ROOT REMODEL,1
35306,TEAEC W/GRAFT EA ADDL TIBIAL/PERONEAL ART,1
35883,REVISION FEMORAL ANAST OPEN NONAUTOG GRAFT,1
36592,COLLECT BLOOD FROM CATHETER VENOUS NOS,1
41019,PLACEMENT NEEDLE HEAD/NECK RADIOELEMENT APPLICAT,1
43771,LAPS GASTRIC RESTRICTIVE PX REVISION DEVICE,1
44158,COLCT TTL ABD W/PRCTECT ILEOANAL ANAST & RSVR,1
49435,INSJ SUBQ EXTENSION INTRAPERITONEAL CATHETER,1
54865,EXPLORATION EPIDIDYMIS W/WO BIOPSY,1
58110,ENDOMETRIAL BX CONJUNCT W/COLPOSCOPY,1
58548,LAPS W/RAD HYST W/BILAT LMPHADEC RMVL TUBE/OVARY,1
64590,INSERTION/RPLCMT PERIPHERAL/GASTRIC NPGR,1
68816,PROBE NASOLACRIMAL DUCT WITH CATHETER DILATION,1
77002,FLUOROSCOPIC GUIDANCE NEEDLE PLACEMENT ADD ON,1
77011,CT GUIDANCE STEREOTACTIC LOCALIZATION,1
77435,STEREOTACTIC BODY RADIATION MANAGEMENT,1
78708,KIDNEY IMG MORPHOLOGY VASCULAR FLOW 1 W/RX,1
78761,TESTICULAR IMAGING WITH VASCULAR FLOW,1
83695,LIPOPROTEIN (A),1
86789,ANTIBODY WEST NILE VIRUS,1
91022,DUODENAL MOTILITY MANOMETRIC STUDY,1
96422,CHEMOTHERAPY ADMIN INTRA-ARTERIAL INFUS </1 HR,1
99318,E/M ANNUAL NURSING FACILITY ASSESS STABLE 30 MIN,1
99340,INDIV PHYS SUPVJ HOME/DOM/R-HOME MO 30 MIN/>,1
99397,PERIODIC PREVENTIVE MED EST PATIENT 65YRS& OLDER,1
99477,INITIAL HOSP NEONATE 28 D/< NOT CRITICALLY ILL,1
1008F,GI&RENAL PRESCRIBED/OTC NSAID RISK FACTORS ASSES,1
1036F,CURRENT TOBACCO NON-USER CAD CAP COPD PV DM,1
1091F,URINE INCONTINENCE CHARACTERIZED,1
1111F,DISCHRG MEDS RECONCILED W/CURRENT MED LIST,1
2002F,CLINICAL SIGNS VOLUME OVERLOAD ASSESSED,1
2019F,DILATED MACULAR EXAM PERFORMED,1
2026F,EYE IMAGING VALIDATED MATCH PHOTOS DIAGNOSIS,1
2029F,COMPLETE PHYSICAL SKIN EXAM PERFORMED,1
3060F,POSITIVE MICROALBUMINURIA TEST RESULT DOC&REV,1
3132F,DOC REFERAL FOR UPPER GI ENDOSCOPY,1
3150F,FORCEPS ESOPHAGEAL BIOPSY PERFORMED,1
4048F,DOC ANTIBIO GIVEN W/IN 1 HR PRIOR SURG/INCIS,1
4054F,HEMODIALYSIS VIA CATHETER,1
4060F,PSYCHOTHERAPY SERVICES PROVIDED,1
4066F,ELECTROCONVULSIVE THERAPY (ECT) PROVIDED,1
4075F,ANTICOAGULANT THERAPY PRESCRIBED AT DISCHARGE,1
4077F,DOC T-PA ADMINISTRATION WAS CONSIDERED,1
5015F,DOCD CONTACT THAT FX EXISTED & PT TSTED/TXD OP,1
0107T,QUANT SENSORY TEST&INTERPJ/XTR W/VIBRJ STIMULI,1
0108T,QUANT SENSORY TEST&INTERPJ/XTR W/COOL STIMULI,1
58573,LAPAROSCOPY TOT HYSTERECTOMY >250 G W/TUBE/OVAR,1
15116,EPIDERMAL AGRFT F/S/N/H/F/G/M/D GT EA 100 CM,1
15220,FTH/GFT FREE W/DIRECT CLOSURE S/A/L 20 CM/<,1
15260,FTH/GFT FREE W/DIRECT CLOSURE N/E/E/L 20 SQ CM/<,1
25609,OPTX DSTL RADL I-ARTIC FX/EPIPHYSL SEP 3 FRAG,1
27768,CLOSED TREATMENT PST MALLEOLUS FRACTURE W/MANJ,1
30130,EXCISION INFERIOR TURBINATE PARTIAL/COMPLETE,1
31535,LARYNGOSCOPY DIRECT OPERATIVE W/BIOPSY,1
31536,LARYNGOSCOPY W/BIOPSY MICROSCOPE/TELESCOPE,1
32550,INSERTION INDWELLING TUNNELED PLEURAL CATHETER,1
32551,TUBE THORACOSTOMY INCLUDES WATER SEAL,1
33675,CLOSURE MULTIPLE VENTRICULAR SEPTAL DEFECTS,1
33726,REPAIR PULMONARY VENOUS STENOSIS,1
37187,PRQ TRANSLUMINAL MECHANICAL THROMBECTOMY VEIN,1
44157,COLECTOMY TOT ABD W/PROCTECTOMY ILEOANAL ANAST,1
49451,REPLACE DUODENOSTOMY/JEJUNOSTOMY TUBE PERQ,1
50250,OPEN ABLATION RENAL MASS CRYOSURG ULTRASOUND,1
50386,REMOVE INT DWELL URETERAL STENT TRANSURETHRAL,1
52204,CYSTOURETHROSCOPY WITH BIOPSY,1
52649,LASER ENUCLEATION PROSTATE W/MORCELLATION,1
55920,PLACEMENT NEEDLE PELVIC ORGAN RADIOELEMENT APPL,1
57558,DILATION & CURETTAGE CERVICAL STUMP,1
67041,VITRECTOMY PARS PLANA REMOVE PRERETINAL MEMBRANE,1
70554,MRI BRAIN FUNCTIONAL W/O PHYSICIAN ADMNISTRATION,1
75563,CARDIAC MRI W/W/O CONTRAST W/STRESS,1
77014,CT GUIDANCE RADIATION THERAPY FLDS PLACEMENT,1
80195,DRUG SCREEN QUANTITATIVE SIROLIMUS,1
82107,AFP-L3 FRACTION ISOFORM & TOTAL AFP W/RATIO,1
86960,VOLUME REDUCTION BLOOD/BLOOD PRODUCT EACH UNIT,1
87271,IAADI CYTOMEGALOVIRUS DIR FLUORESCENT ANTIBODY,1
87809,INFECTIOUS AGENT IMMUNOASSAY OPTICAL ADENOVIRUS,1
99255,INITIAL INPATIENT CONSULT NEW/ESTAB PT 110 MIN,1
99324,DOMICIL/REST HOME NEW PT VISIT LOW SEVER 20 MIN,1
99406,TOBACCO USE CESSATION INTERMEDIATE 3-10 MINUTES,1
99455,WORK RELATED/MED DBLT XM TREATING PHYS,1
0001F,HRT FAILURE ASSESSED,1
1015F,COPD SYMPTOMS ASSESSED/TOOL COMPLETED,1
1018F,DYSPNEA ASSESSED NOT PRESENT,1
1026F,CO-MORBID CONDITIONS ASSESSED,1
1034F,CURRENT TOBACCO SMOKER,1
1039F,INTERMITTENT ASTHMA,1
1065F,ISCHEMIC STROKE SYMP ONSET <3 HRS PRIOR ARRIVAL,1
2010F,VITAL SIGNS RECORDED,1
2020F,DILATED FUNDUS EVALUATION PERFORMED,1
3011F,LIPID PANEL RESULTS DOCUMENTED & REVIEWED,1
3045F,MOST RECENT HEMOGLOBIN A1C LEVEL GT 7.0-9.0 %,1
3062F,POSITIVE MACROALBUMINURIA TEST RESULT DOC&REV,1
3079F,MOST RECENT DIASTOLIC BLOOD PRESSURE 80-89 MM HG,1
4011F,ORAL ANTIPLATELET THERAPY PRESCRIBED,1
4044F,DOC ORDER VTE PROPHYL W/IN 24 HRS PRIOR SURG,1
4045F,APPROPRIATE EMPIRIC ANTIBIOTIC PRESCRIBED,1
4051F,REFERRED FOR AN ARTERIO-VENOUS (AV) FISTULA,1
4053F,HEMODIALYSIS VIA FUNCTIONING AVGRAFT,1
4055F,PATIENT RECEIVING PERITONEAL DIALYSIS,1
4064F,ANTIDEPRESSANT PHARMACOTHERAPY PRESCRIBED,1
4073F,ORAL ANTIPLATELET THERAPY PRESCRBED AT DISCHARGE,1
6015F,PATIENT OK FOR PER ORAL INTAKE (FOOD/MEDICATION),1
0174T,CAD CHEST RADIOGRAPH CONCURRENT W/INTERPRETATION,1
33889,OPN SUBCLA CRTD ART TRPOS NCK INC ULAT,1
0110T,QUANT SENSORY TEST&INTERPJ/XTR OTHER STIMULI,1
15111,EPIDRM AGRFT T/A/L EA 100 CM/EA 1% BDY INFT/CHLD,1
15115,EPIDERMAL AGRFT F/S/N/H/F/G/M/D GT 1ST 100 CM/<,1
20938,AUTOGRAFT SPINE SURGERY BICORT/TRICORT SEP INC,1
22865,RMVL DISC ARTHROPLASTY ANT 1 INTERSPACE LUMBAR,1
25607,OPTX DSTL RADL X-ARTIC FX/EPIPHYSL SEP,1
29906,ARTHROSCOPY SUBTALAR JOINT WITH DEBRIDEMENT,1
29907,ARTHROSCOPY SUBTALAR JOINT SUBTALAR ARTHRODESIS,1
31541,LARGSC EXC TUM&/STRPG CORDS/EPIGL MCRSCP/TLSCP,1
32504,RESCJ APICAL LUNG TUMOR W/CHEST WALL RCNSTJ,1
33259,ATRIA ABLTJ & RCNSTJ W/OTHER PX EXTEN W/BYPASS,1
33881,EVASC RPR DTA EXP COVERAGE W/O ART ORIGIN,1
37722,LIGJ DIVJ&STRIP LONG SAPH SAPHFEM JUNCT KNE/BELW,1
43770,LAPS GASTRIC RESTRICTIVE PROCEDURE PLACE DEVICE,1
43773,LAPS GASTRIC RESTRICTIVE PX REMOVE&RPLCMT DEVICE,1
54150,CIRCUMCISION W/CLAMP/OTH DEV W/BLOCK,1
58958,RESECTION RECRT MAL W/OMENTECTOMY PEL LMPHADEC,1
61635,TCAT PLMT IV STENT ICRA W/BALO ANGIOP IF PFRMD,1
67042,VITRECTOMY PARS PLANA REMOVE INT MEMB RETINA,1
76776,US TRNSPLNT KIDNEY REAL TIME W/IMAGE DOCMTN,1
77003,FLUOR NEEDLE/CATH SPINE/PARASPINAL DX/THER ADDON,1
77053,MAMMARY DUCTOGRAM OR GALACTOGRAM SINGLE,1
92640,ANALYSIS W/PRGRMG AUD BRAINSTEM IMPLANT PR HR,1
94005,HOME VENTILATOR MGMT CARE OVERSIGHT 30 MIN/>,1
96402,CHEMOTX ADMN SUBQ/IM HORMONAL ANTI-NEO,1
96416,CHEMOTX ADMN TQ INIT PROLNG CHEMOTX NFUS PMP,1
96523,IRRIGAJ IMPLNTD VENOUS ACCESS DRUG DELIVERY SYST,1
98966,NONPHYSICIAN TELEPHONE ASSESSMENT 5-10 MIN,1
99060,SVC PRV EMER OUT OFFICE DISRUPTS OFFICE SVC,1
99339,INDIV PHYS SUPVJ HOME/DOM/R-HOME MO 15-29 MIN,1
99368,TEAM CONFERENCE NON-FACE-TO-FACE NONPHYSICIAN,1
1003F,LEVEL ACTIVITY ASSESSED,1
1090F,PRESENCE/ABSENCE URINARY INCONTINENCE ASSESSED,1
2014F,MENTAL STATUS ASSESSED,1
3020F,LEFT VENTRICULAR FUNCTION ASSESSMENT DOCUMENTED,1
3049F,MOST RECENT LDL-C 100-129 MG/DL,1
4016F,ANTI-INFLAMMATORY/ANALGESIC AGT PRESCRIBED,1
4018F,THERAPEUTIC EXERCISE INVOLVED JTS INST/PRESCRIBE,1
4033F,PULMONARY REHABILITATION RECOMMENDED,1
4079F,DOC REHAB SERVICES WERE CONSIDERED,1
0109T,QUANT SENAORY TEST&INTERPJ/XTR W/HT-PN STIMULI,1
0164T,RMVL TOT DISC ARTHRP ANT APPR LMBR EA NTRSPC,1
0175T,CAD CHEST RADIOGRAPH REMOTE FROM PRIMARY INTERPJ,1
1019F,DYSPNEA ASSESSED PRESENT,1
60300,ASPIRATION AND/OR INJECTION THYROID CYST,1
4065F,ANTIPSYCHOTIC PHARMACOTHERAPY PRESCRIBED,1
94004,VENTILATION ASSIST & MGMT NURSING FAC PR DAY,1
98969,NONPHYSICIAN ONLINE ASSESSMENT AND MANAGEMENT,1
15830,EXCISION SKIN ABD INFRAUMBILICAL PANNICULECTOMY,1
25109,EXC TENDON FOREARM&/WRIST FLEXOR/EXTENSOR EA,1
25606,PERQ SKEL FIXJ DISTAL RADIAL FX/EPIPHYSL SEP,1
27766,OPEN TREATMENT MEDIAL MALLEOLUS FRACTURE,1
27769,OPEN TREATMENT POSTERIOR MALLEOLUS FRACTURE,1
29904,ARTHRS SUBTALAR JOINT REMOVE LOOSE/FOREIGN BODY,1
31570,LARYNGOSCOPE INJECTION VOCAL CORD THERAPEUTIC,1
32503,RESCJ APICAL LUNG TUMOR W/O CHEST WALL RCNSTJ,1
33925,RPR P-ART ARBORIZJ ANOMAL UNIFCLIZJ W/O BYPASS,1
49442,INSERT CECOSTOMY/OTHER COLONIC TUBE PERCUTANEOUS,1
49446,CONVERT GASTROSTOMY-GASTRO-JEJUNOSTOMY TUBE PERQ,1
64650,CHEMODENERVATION ECCRINE GLANDS BOTH AXILLAE,1
77071,MANUAL APPL STRESS PFRMD PHYS/QHP JOINT FILMS,1
83698,LIPOPROTEIN-ASSOCIATED PHOSPHOLIPASE A2,1
89049,CAFFEINE HALOTHANE CONTRACTURE TEST,1
92633,AUDITORY REHABILITATION POSTLINGUAL HEARING LOSS,1
95012,NITRIC OXIDE EXPIRED GAS DETERMINATION,1
96125,STANDARDIZED COGNITIVE PERFORMANCE TESTING,1
98967,NONPHYSICIAN TELEPHONE ASSESSMENT 11-20 MIN,1
99056,SVC TYPICAL PRV OFFICE PRV OUT OFFICE REQUEST PT,1
99254,INITIAL INPATIENT CONSULT NEW/ESTAB PT 80 MIN,1
99325,DOMICIL/REST HOME NEW PT VISIT MOD SEVER 30 MIN,1
99335,DOM/R-HOME E/M EST PT LW MOD SEVERITY 25 MINUTES,1
1030F,INFLUENZA IMMUNIZATION STATUS ASSESSED,1
1110F,PT DISCHARGE INPT FACILITY WITHIN LAST 60 DAYS,1
2027F,OPTIC NERVE HEAD EVALUATION PERFORMED,1
3028F,OXYGEN SATURATION RESULTS DOCUMENTED & REVIEWE,1
3066F,DOCUMENTATION OF TREATMENT FOR NEPHROPATHY,1
3075F,MOST RECENT SYSTOLIC BLOOD PRESS 130-139MM HG,1
3210F,GROUP A STREP TEST PERFORMED,1
4037F,INFLUENZA IMMUNIZATION ORDERED OR ADMINISTERED,1
4043F,DOC ORDER DISCONT ANTIBIO W/IN 48 HOURS OF SURG,1
4049F,DOC ORDER GIVEN TO STOP ANTIBIO W/IN 24 HRS SURG,1
4090F,PATIENT RECEIVING ERYTHROPOIETIN THERAPY,1
4110F,LIMA GRAFT USED IN 1ST ISOLATED CABG PXD,1
6020F,NOTHING BY MOUTH ORDERED,1
91111,GASTROINTESTINAL TRACT IMAGING ESOPHAGUS W/I&R,1
4025F,INHALED BRONCHODILATOR PRESCRIBED,1
15110,EPIDRM AGRFT T/A/L 1ST 100 CM/&/1% BDY INFT/CHLD,1
15120,SPLIT AGRFT F/S/N/H/F/G/M/D GT 1ST 100 CM/</1 %,1
15121,SPLIT AGRFT F/S/N/H/F/G/M/D GT EA 100 CM/EA 1 %,1
15131,DERMAL AUTOGRAFT TRUNK/ARM/LEG EA 100 CM/EA,1
15731,FOREHEAD FLAP W/PRESERVATION VASCULAR PEDICLE,1
17000,DESTRUCTION PREMALIGNANT LESION 1ST,1
20936,AUTOGRAFT SPINE SURGERY LOCAL FROM SAME INCISION,1
27268,CLOSED TX FEMORAL FRACTURE PROX HEAD W/MANJ,1
31525,LARYNGOSCOPY W/WO TRACHEOSCOPY DX EXCEPT NEWBORN,1
31560,LARYNGOSCOPY DIRECT OPERATIVE W/ARYTENOIDECTOMY,1
33676,CLOSURE MULTIPLE VSD W/RESECTION,1
33724,REPAIR ISOLATED PARTIAL PULM VENOUS RETURN,1
33880,EVASC RPR DTA COVERAGE ART ORIGIN 1ST ENDOPROSTH,1
33891,BYP GRF W/DESCENDING THORACIC AORTA RPR NECK INC,1
35600,HARVEST UPPER EXTREMITY ARTERY 1 SEGMENT CABG,1
35884,REVISION FEMORAL ANAST OPEN W/AUTOG GRAFT,1
36593,DECLOT BY THROMBOLYTIC AGENT IMPLANT DEVICE/CATH,1
48548,PANCREATICOJEJUNOSTOMY SIDE-TO-SIDE ANAST,1
49326,LAPAROSCOPY W/OMENTOPEXY,1
49436,DELAYED CREATION EXIT SITE EMBEDDED CATHETER,1
49450,REPLACE GASTROSTOMY/CECOSTOMY TUBE PERCUTANEOUS,1
49465,CONTRAST INJECTION PERQ RADIOLOGIC EVAL GI TUBE,1
50385,REMOVE & REPLACE INDWELL URETERAL STENT TRURTHRL,1
50389,RMVL NFROS TUBE REQ FLUORO GUIDANCE,1
51102,ASPIRATION BLADDER INSERT SUPRAPUBIC CATHETER,1
77081,DXA BONE DENSITY STUDY 1/>SITES APPENDICLR SKEL,1
78600,BRAIN IMAGING <4 STATIC VIEWS,1
78605,BRAIN IMAGING MINIMUM 4 STATIC VIEWS,1
78606,BRAIN IMAGING MIN 4 STATIC VIEWS W VASCULAR FLOW,1
82610,CYSTATIN C,1
86200,CYCLIC CITRULLINATED PEPTIDE ANTIBODY,1
89320,SEMEN ANALYSIS VOLUME COUNT MOTILITY DIFFERENT,1
94610,INTRAPULMONARY SURFACTANT ADMINISTJ PHYS/QHP,1
95980,ELEC ALYS NSTIM PLS GEN GASTRIC INTRAOP W/PRGRMG,1
95981,ELEC ALYS NSTIM GEN GASTRIC SBSQ W/O REPRGRMG,1
96417,CHEMOTX ADMN IV NFS TQ EA SEQL NFS TO 1 HR,1
99251,INITIAL INPATIENT CONSULT NEW/ESTAB PT 20 MIN,1
99327,DOMICIL/REST HOME NEW PT VISIT HI SEVER 60 MIN,1
1005F,ASTHMA SYMPTOMS EVALUATED,1
1006F,OSTEOARTHRITIS SYMPTOMS&FUNCJAL STATUS ASSES,1
2000F,BLOOD PRESSURE MEASURED,1
3017F,COLORECTAL CANCER SCREENING RESULTS DOC&REV,1
3044F,MOST RECENT HEMOGLOBIN A1C LEVEL < 7.0%,1
3048F,MOST RECENT LDL-C <100 MG/DL,1
3061F,NEGATIVE MICROALBUMINURIA TEST RESULT DOC&REV,1
3072F,LOW RISK FOR RETINOPATHY,1
3085F,SUICIDE RISK ASSESSED,1
3100F,CAROTID IMAGNG REPORT DIR/INDIR MEAS VESSEL DIAM,1
3111F,CT OR MRI BRAIN DONE W/IN 24 HRS HOSP ARRIVAL,1
4019F,DOCUMENT COUNSELING EXERCISE CALCIUM & VITAMIN,1
4035F,INFLUENZA IMMUNIZATION RECOMMENDED,1
4052F,HEMODIAL VIA FUNCTIONG AV FISTULA,1
6005F,RATIONALE FOR LEVEL OF CARE DOCUMENTED,1
0126T,COMMON CAROTID INTIMA MEDIA THICKNESS STUDY,1
83036,HEMOGLOBIN GLYCOSYLATED A1C,1
1050F,HISTORY NEW OR CHANGING MOLES,1
31526,LARYNGOSCOPY W/WO TRACHEOSCOPY W/MICRO/TELESCOPE,1
57295,REVJ/RMVL PROSTHETIC VAGINAL GRAFT VAGINAL APP,1
15157,CLTR SKIN AGRFT F/S/N/H/F/G/M/D GT EA 100 EA,1
