CPT code,String
98968,NONPHYSICIAN TELEPHONE ASSESSMENT 21-30 MIN
99326,DOMICIL/REST HOME NEW PT HI-MOD SEVER 45 MINUTES
99334,DOM/R-HOME E/M EST PT SELF-LMTD/MINOR 15 MINUTES
99336,DOM/R-HOME E/M EST PT MOD HI SEVERITY 40 MINUTES
99367,TEAM CONFERENCE NON-FACE-TO-FACE PHYSICIAN
0012F,COMMUNITY-ACQUIRED BACTERIAL PNEUMONIA ASSMT
1004F,CLINICAL SYMPTOMS VOL OVERLOAD ASSESSED
1007F,ANTI-INFLAMMATORY/ANALGESIC SYMPTOM RELIEF ASSES
1022F,PNEUMOCOCCUS IMMUNIZATION STATUS ASSESSED
1055F,VISUAL FUNCTIONAL STATUS ASSESSED
1066F,ISCHEMIC STROKE SYMP ONSET >/=3 HRS PRIOR ARRIVA
2028F,FOOT EXAMINATION PERFORMED
3021F,LEFT VENTRICULAR EJECTION FRACTION <40%
3093F,DOC NEW DIAG DX INIT/RECURRENT EPISODE OF MDD
3120F,12-LEAD ECG PERFORMED
3142F,BARIUM SWALLOW TEST ORDERED
3155F,CYTOGEN TEST DONE MARROW DIAG OR PRIOR TXMNT
4012F,WARFARIN THERAPY PRESCRIBED
4014F,DSCHRG INSTRUCTIONS HRT FAILURE XCP PTS 18 YR
4015F,PRSISTENT ASTHMA LONG TERM CTRL MED PRESCRIBED
4047F,DOC ORDER ANTIBIO GIVEN W/IN 1 HR PRIOR SURG/INC
4115F,BETA BLOCKER GIVEN W/IN 24 HRS PRIOR SURG INC
0098T,REVJ TOT DISC ARTHRP ANT APPR CRV EA NTRSPC
0165T,REVJ TOT DISC ARTHRP ANT APPR LMBR EA NTRSPC
70555,MRI BRAIN FUNCTIONAL W/PHYSICIAN ADMNISTRATION
50592,ABLTJ 1/> RENAL TUMOR PRQ UNI RADIOFREQUENCY
49325,LAPS W/REVISION INTRAPERITONEAL CATHETER
1070F,ALARM SYMPTOMS ASSESSED NONE PRESENT
4095F,PATIENT NOT RECEIVING ERYTHORPOIETIN THERAPY
15201,FTH/GFT FR W/DIR CLSR TRNK EA ADDL 20 CM/<
19361,BRST RCNSTJ W/LATSMS D/SI FLAP WO PRSTHC IMPL
20930,ALLOGRAFT FOR SPINE SURGERY ONLY MORSELIZED
20985,CPTR-ASST SURGICAL NAVIGATION IMAGE-LESS
22857,TOT DISC ARTHRP ART DISC ANT APPRO 1 NTRSPC LMBR
27267,CLOSED TX FEMORAL FRACTURE PROX HEAD W/O MANJ
27416,OSTEOCHONDRAL AUTOGRAFT KNEE OPEN MOSAICPLASTY
27767,CLOSED TREATMENT PST MALLEOLUS FRACTURE W/O MANJ
28446,OPEN OSTEOCHONDRAL AUTOGRAFT TALUS
31531,LARYNGOSCOPY FOREIGN BODY RMVL MICRO/TELESCOPE
31571,LARGSC W/NJX VOCAL CORD THER W/MICRO/TELESCOPE
33768,ANASTOMOSIS CAVOPULMARY 2ND SUPRIOR VENA CAVA
35302,TEAEC W/GRAFT SUPERFICIAL FEMORAL ARTERY
36591,COLLECT BLOOD FROM IMPLANT VENOUS ACCESS DEVICE
37718,LIGJ DIVJ & STRIPPING SHORT SAPHENOUS VEIN
45402,LAPAROSCOPY PROCTOPEXY PROLAPSE SIGMOID RESCJ
46505,CHEMODENERVATION INTERNAL ANAL SPHINCTER
46710,RPR ILEOANAL POUCH FSTL/POUCH ADVMNT TPRNL APPR
49203,EXCISION/DESTRUCTION OPEN ABDOMINAL TUMOR 5 CM/<
49205,EXC/DESTRUCTION OPEN ABDOMINAL TUMORS >10.0 CM
49452,REPLACEMENT GASTRO-JEJUNOSTOMY TUBE PERCUTANEOUS
54161,CIRCUMCISION AGE >28 DAYS
56442,HYMENOTOMY SIMPLE INCISION
58543,LAPS SUPRACERVICAL HYSTERECTOMY >250
58957,RESECJ RECUR OVARIAN/TUBAL/PERITONEAL MALIGNANCY
67229,EXTENSIVE RETINOPATHY 1/> SESS PRETERM INFANT
80048,BASIC METABOLIC PANEL CALCIUM TOTAL
87808,IAADIADOO TRICHOMONAS VAGINALIS
89331,SPERM EVALUATION RETROGRADE EJACULATION URINE
92626,EVALUATION AUDITORY REHAB STATUS 1ST HR
96020,TEST SELECT & ADMN FUNCTL BRAIN MAP PHYS/QHP
99252,INITIAL INPATIENT CONSULT NEW/ESTAB PT 40 MIN
99253,INITIAL INPATIENT CONSULT NEW/ESTAB PT 55 MIN
99328,DOM/R-HOME E/M NEW PT SIGNIF NEW PROB 75 MINUTES
99337,DOM/R-HOME E/M EST PT SIGNIF NEW PROB 60 MINUTES
0005F,OSTEOARTHRITIS COMPOSITE
1035F,CURRENT SMOKELESS TOBACCO USER
1060F,DOC PERM/PERSISTENT/PAROXYSMAL ATRIAL FIB
1071F,ALARM SYMPTOMS ASSESSED 1/> PRESENT
2004F,INITIAL EXAMINATION INVOLVED JOINTS
2018F,HYDRATION STATUS ASSESSED
2024F,7 STANDARD FIELD STEREOSCOPIC PHOTOS W/INTERPJ
3023F,SPIROMETRY RESULTS DOCUMENTED AND REVIEWED
3096F,CENTRAL DUAL ENERGY ABSORPTIOMETRY ORDERED
3130F,UPPER GI ENDOSCOPY PERFORMED
4017F,GI PROPHYLAXIS NSAID USE PRESCRIBED
4046F,DOCD ANTIBIO W/IN 4 HRS PRIOR/INTRAOP SURG INCIS
5005F,COUNSEL NEW/CHANGING MOLES SELF-EXAMINATION
6010F,DYSPHAGIA SCREENING PRIOR ORAL INTAKE
0100T,PLMT SCJNCL RTA PROSTH&PLS&IMPLTJ INTRA-OC RTA
0106T,QUANT SENSORY TEST&INTERPJ/XTR W/TOUCH STIMULI
0163T,TOT DISC ARTHRP ANT APPR DSKC PREP LMBR EA
3006F,CHEST X-RAY RESULTS DOCUMENTED & REVIEWED
00625,ANES THRC SPINE & CORD ANT APPR W/O 1 LUNG VENTJ
15040,HARVEST SKIN TISSUE CLTR SKIN AGRFT 100 CM/<
15135,DERMAL AUTOGRAFT F/S/N/H/F/G/M/D GT 1ST 100
15240,FTH/GFT FR W/DIR CLSR F/C/C/M/N/AX/G/H/F 20 CM/<
15847,EXCISION EXCESSIVE SKIN & SUBQ TISSUE ABDOMEN
19300,MASTECTOMY GYNECOMASTIA
20931,ALLOGRAFT FOR SPINE SURGERY ONLY STRUCTURAL
20937,AUTOGRAFT SPINE SURGERY MORSELIZED SEP INCISION
25608,OPTX DSTL RADL I-ARTIC FX/EPIPHYSL SEP 2 FRAG
27726,REPAIR FIBULA NONUNION/MALUNION W/INT FIXATION
27762,CLTX MEDIAL MALLS FX W/MANJ W/WO SKN/SKEL TRACJ
33864,ASCENDING AORTA GRF VALVE SPARE ROOT REMODEL
35306,TEAEC W/GRAFT EA ADDL TIBIAL/PERONEAL ART
35883,REVISION FEMORAL ANAST OPEN NONAUTOG GRAFT
36592,COLLECT BLOOD FROM CATHETER VENOUS NOS
41019,PLACEMENT NEEDLE HEAD/NECK RADIOELEMENT APPLICAT
43771,LAPS GASTRIC RESTRICTIVE PX REVISION DEVICE
44158,COLCT TTL ABD W/PRCTECT ILEOANAL ANAST & RSVR
49435,INSJ SUBQ EXTENSION INTRAPERITONEAL CATHETER
54865,EXPLORATION EPIDIDYMIS W/WO BIOPSY
58110,ENDOMETRIAL BX CONJUNCT W/COLPOSCOPY
58548,LAPS W/RAD HYST W/BILAT LMPHADEC RMVL TUBE/OVARY
64590,INSERTION/RPLCMT PERIPHERAL/GASTRIC NPGR
68816,PROBE NASOLACRIMAL DUCT WITH CATHETER DILATION
77002,FLUOROSCOPIC GUIDANCE NEEDLE PLACEMENT ADD ON
77011,CT GUIDANCE STEREOTACTIC LOCALIZATION
77435,STEREOTACTIC BODY RADIATION MANAGEMENT
78708,KIDNEY IMG MORPHOLOGY VASCULAR FLOW 1 W/RX
78761,TESTICULAR IMAGING WITH VASCULAR FLOW
83695,LIPOPROTEIN (A)
86789,ANTIBODY WEST NILE VIRUS
91022,DUODENAL MOTILITY MANOMETRIC STUDY
96422,CHEMOTHERAPY ADMIN INTRA-ARTERIAL INFUS </1 HR
99318,E/M ANNUAL NURSING FACILITY ASSESS STABLE 30 MIN
99340,INDIV PHYS SUPVJ HOME/DOM/R-HOME MO 30 MIN/>
99397,PERIODIC PREVENTIVE MED EST PATIENT 65YRS& OLDER
99477,INITIAL HOSP NEONATE 28 D/< NOT CRITICALLY ILL
1008F,GI&RENAL PRESCRIBED/OTC NSAID RISK FACTORS ASSES
1036F,CURRENT TOBACCO NON-USER CAD CAP COPD PV DM
1091F,URINE INCONTINENCE CHARACTERIZED
1111F,DISCHRG MEDS RECONCILED W/CURRENT MED LIST
2002F,CLINICAL SIGNS VOLUME OVERLOAD ASSESSED
2019F,DILATED MACULAR EXAM PERFORMED
2026F,EYE IMAGING VALIDATED MATCH PHOTOS DIAGNOSIS
2029F,COMPLETE PHYSICAL SKIN EXAM PERFORMED
3060F,POSITIVE MICROALBUMINURIA TEST RESULT DOC&REV
3132F,DOC REFERAL FOR UPPER GI ENDOSCOPY
3150F,FORCEPS ESOPHAGEAL BIOPSY PERFORMED
4048F,DOC ANTIBIO GIVEN W/IN 1 HR PRIOR SURG/INCIS
4054F,HEMODIALYSIS VIA CATHETER
4060F,PSYCHOTHERAPY SERVICES PROVIDED
4066F,ELECTROCONVULSIVE THERAPY (ECT) PROVIDED
4075F,ANTICOAGULANT THERAPY PRESCRIBED AT DISCHARGE
4077F,DOC T-PA ADMINISTRATION WAS CONSIDERED
5015F,DOCD CONTACT THAT FX EXISTED & PT TSTED/TXD OP
0107T,QUANT SENSORY TEST&INTERPJ/XTR W/VIBRJ STIMULI
0108T,QUANT SENSORY TEST&INTERPJ/XTR W/COOL STIMULI
58573,LAPAROSCOPY TOT HYSTERECTOMY >250 G W/TUBE/OVAR
15116,EPIDERMAL AGRFT F/S/N/H/F/G/M/D GT EA 100 CM
15220,FTH/GFT FREE W/DIRECT CLOSURE S/A/L 20 CM/<
15260,FTH/GFT FREE W/DIRECT CLOSURE N/E/E/L 20 SQ CM/<
25609,OPTX DSTL RADL I-ARTIC FX/EPIPHYSL SEP 3 FRAG
27768,CLOSED TREATMENT PST MALLEOLUS FRACTURE W/MANJ
30130,EXCISION INFERIOR TURBINATE PARTIAL/COMPLETE
31535,LARYNGOSCOPY DIRECT OPERATIVE W/BIOPSY
31536,LARYNGOSCOPY W/BIOPSY MICROSCOPE/TELESCOPE
32550,INSERTION INDWELLING TUNNELED PLEURAL CATHETER
32551,TUBE THORACOSTOMY INCLUDES WATER SEAL
33675,CLOSURE MULTIPLE VENTRICULAR SEPTAL DEFECTS
33726,REPAIR PULMONARY VENOUS STENOSIS
37187,PRQ TRANSLUMINAL MECHANICAL THROMBECTOMY VEIN
44157,COLECTOMY TOT ABD W/PROCTECTOMY ILEOANAL ANAST
49451,REPLACE DUODENOSTOMY/JEJUNOSTOMY TUBE PERQ
50250,OPEN ABLATION RENAL MASS CRYOSURG ULTRASOUND
50386,REMOVE INT DWELL URETERAL STENT TRANSURETHRAL
52204,CYSTOURETHROSCOPY WITH BIOPSY
52649,LASER ENUCLEATION PROSTATE W/MORCELLATION
55920,PLACEMENT NEEDLE PELVIC ORGAN RADIOELEMENT APPL
57558,DILATION & CURETTAGE CERVICAL STUMP
67041,VITRECTOMY PARS PLANA REMOVE PRERETINAL MEMBRANE
70554,MRI BRAIN FUNCTIONAL W/O PHYSICIAN ADMNISTRATION
75563,CARDIAC MRI W/W/O CONTRAST W/STRESS
77014,CT GUIDANCE RADIATION THERAPY FLDS PLACEMENT
80195,DRUG SCREEN QUANTITATIVE SIROLIMUS
82107,AFP-L3 FRACTION ISOFORM & TOTAL AFP W/RATIO
86960,VOLUME REDUCTION BLOOD/BLOOD PRODUCT EACH UNIT
87271,IAADI CYTOMEGALOVIRUS DIR FLUORESCENT ANTIBODY
87809,INFECTIOUS AGENT IMMUNOASSAY OPTICAL ADENOVIRUS
99255,INITIAL INPATIENT CONSULT NEW/ESTAB PT 110 MIN
99324,DOMICIL/REST HOME NEW PT VISIT LOW SEVER 20 MIN
99406,TOBACCO USE CESSATION INTERMEDIATE 3-10 MINUTES
99455,WORK RELATED/MED DBLT XM TREATING PHYS
0001F,HRT FAILURE ASSESSED
1015F,COPD SYMPTOMS ASSESSED/TOOL COMPLETED
1018F,DYSPNEA ASSESSED NOT PRESENT
1026F,CO-MORBID CONDITIONS ASSESSED
1034F,CURRENT TOBACCO SMOKER
1039F,INTERMITTENT ASTHMA
1065F,ISCHEMIC STROKE SYMP ONSET <3 HRS PRIOR ARRIVAL
2010F,VITAL SIGNS RECORDED
2020F,DILATED FUNDUS EVALUATION PERFORMED
3011F,LIPID PANEL RESULTS DOCUMENTED & REVIEWED
3045F,MOST RECENT HEMOGLOBIN A1C LEVEL GT 7.0-9.0 %
3062F,POSITIVE MACROALBUMINURIA TEST RESULT DOC&REV
3079F,MOST RECENT DIASTOLIC BLOOD PRESSURE 80-89 MM HG
4011F,ORAL ANTIPLATELET THERAPY PRESCRIBED
4044F,DOC ORDER VTE PROPHYL W/IN 24 HRS PRIOR SURG
4045F,APPROPRIATE EMPIRIC ANTIBIOTIC PRESCRIBED
4051F,REFERRED FOR AN ARTERIO-VENOUS (AV) FISTULA
4053F,HEMODIALYSIS VIA FUNCTIONING AVGRAFT
4055F,PATIENT RECEIVING PERITONEAL DIALYSIS
4064F,ANTIDEPRESSANT PHARMACOTHERAPY PRESCRIBED
4073F,ORAL ANTIPLATELET THERAPY PRESCRBED AT DISCHARGE
6015F,PATIENT OK FOR PER ORAL INTAKE (FOOD/MEDICATION)
0174T,CAD CHEST RADIOGRAPH CONCURRENT W/INTERPRETATION
33889,OPN SUBCLA CRTD ART TRPOS NCK INC ULAT
0110T,QUANT SENSORY TEST&INTERPJ/XTR OTHER STIMULI
15111,EPIDRM AGRFT T/A/L EA 100 CM/EA 1% BDY INFT/CHLD
15115,EPIDERMAL AGRFT F/S/N/H/F/G/M/D GT 1ST 100 CM/<
20938,AUTOGRAFT SPINE SURGERY BICORT/TRICORT SEP INC
22865,RMVL DISC ARTHROPLASTY ANT 1 INTERSPACE LUMBAR
25607,OPTX DSTL RADL X-ARTIC FX/EPIPHYSL SEP
29906,ARTHROSCOPY SUBTALAR JOINT WITH DEBRIDEMENT
29907,ARTHROSCOPY SUBTALAR JOINT SUBTALAR ARTHRODESIS
31541,LARGSC EXC TUM&/STRPG CORDS/EPIGL MCRSCP/TLSCP
32504,RESCJ APICAL LUNG TUMOR W/CHEST WALL RCNSTJ
33259,ATRIA ABLTJ & RCNSTJ W/OTHER PX EXTEN W/BYPASS
33881,EVASC RPR DTA EXP COVERAGE W/O ART ORIGIN
37722,LIGJ DIVJ&STRIP LONG SAPH SAPHFEM JUNCT KNE/BELW
43770,LAPS GASTRIC RESTRICTIVE PROCEDURE PLACE DEVICE
43773,LAPS GASTRIC RESTRICTIVE PX REMOVE&RPLCMT DEVICE
54150,CIRCUMCISION W/CLAMP/OTH DEV W/BLOCK
58958,RESECTION RECRT MAL W/OMENTECTOMY PEL LMPHADEC
61635,TCAT PLMT IV STENT ICRA W/BALO ANGIOP IF PFRMD
67042,VITRECTOMY PARS PLANA REMOVE INT MEMB RETINA
76776,US TRNSPLNT KIDNEY REAL TIME W/IMAGE DOCMTN
77003,FLUOR NEEDLE/CATH SPINE/PARASPINAL DX/THER ADDON
77053,MAMMARY DUCTOGRAM OR GALACTOGRAM SINGLE
92640,ANALYSIS W/PRGRMG AUD BRAINSTEM IMPLANT PR HR
94005,HOME VENTILATOR MGMT CARE OVERSIGHT 30 MIN/>
96402,CHEMOTX ADMN SUBQ/IM HORMONAL ANTI-NEO
96416,CHEMOTX ADMN TQ INIT PROLNG CHEMOTX NFUS PMP
96523,IRRIGAJ IMPLNTD VENOUS ACCESS DRUG DELIVERY SYST
98966,NONPHYSICIAN TELEPHONE ASSESSMENT 5-10 MIN
99060,SVC PRV EMER OUT OFFICE DISRUPTS OFFICE SVC
99339,INDIV PHYS SUPVJ HOME/DOM/R-HOME MO 15-29 MIN
99368,TEAM CONFERENCE NON-FACE-TO-FACE NONPHYSICIAN
1003F,LEVEL ACTIVITY ASSESSED
1090F,PRESENCE/ABSENCE URINARY INCONTINENCE ASSESSED
2014F,MENTAL STATUS ASSESSED
3020F,LEFT VENTRICULAR FUNCTION ASSESSMENT DOCUMENTED
3049F,MOST RECENT LDL-C 100-129 MG/DL
4016F,ANTI-INFLAMMATORY/ANALGESIC AGT PRESCRIBED
4018F,THERAPEUTIC EXERCISE INVOLVED JTS INST/PRESCRIBE
4033F,PULMONARY REHABILITATION RECOMMENDED
4079F,DOC REHAB SERVICES WERE CONSIDERED
0109T,QUANT SENAORY TEST&INTERPJ/XTR W/HT-PN STIMULI
0164T,RMVL TOT DISC ARTHRP ANT APPR LMBR EA NTRSPC
0175T,CAD CHEST RADIOGRAPH REMOTE FROM PRIMARY INTERPJ
1019F,DYSPNEA ASSESSED PRESENT
60300,ASPIRATION AND/OR INJECTION THYROID CYST
4065F,ANTIPSYCHOTIC PHARMACOTHERAPY PRESCRIBED
94004,VENTILATION ASSIST & MGMT NURSING FAC PR DAY
98969,NONPHYSICIAN ONLINE ASSESSMENT AND MANAGEMENT
15830,EXCISION SKIN ABD INFRAUMBILICAL PANNICULECTOMY
25109,EXC TENDON FOREARM&/WRIST FLEXOR/EXTENSOR EA
25606,PERQ SKEL FIXJ DISTAL RADIAL FX/EPIPHYSL SEP
27766,OPEN TREATMENT MEDIAL MALLEOLUS FRACTURE
27769,OPEN TREATMENT POSTERIOR MALLEOLUS FRACTURE
29904,ARTHRS SUBTALAR JOINT REMOVE LOOSE/FOREIGN BODY
31570,LARYNGOSCOPE INJECTION VOCAL CORD THERAPEUTIC
32503,RESCJ APICAL LUNG TUMOR W/O CHEST WALL RCNSTJ
33925,RPR P-ART ARBORIZJ ANOMAL UNIFCLIZJ W/O BYPASS
49442,INSERT CECOSTOMY/OTHER COLONIC TUBE PERCUTANEOUS
49446,CONVERT GASTROSTOMY-GASTRO-JEJUNOSTOMY TUBE PERQ
64650,CHEMODENERVATION ECCRINE GLANDS BOTH AXILLAE
77071,MANUAL APPL STRESS PFRMD PHYS/QHP JOINT FILMS
83698,LIPOPROTEIN-ASSOCIATED PHOSPHOLIPASE A2
89049,CAFFEINE HALOTHANE CONTRACTURE TEST
92633,AUDITORY REHABILITATION POSTLINGUAL HEARING LOSS
95012,NITRIC OXIDE EXPIRED GAS DETERMINATION
96125,STANDARDIZED COGNITIVE PERFORMANCE TESTING
98967,NONPHYSICIAN TELEPHONE ASSESSMENT 11-20 MIN
99056,SVC TYPICAL PRV OFFICE PRV OUT OFFICE REQUEST PT
99254,INITIAL INPATIENT CONSULT NEW/ESTAB PT 80 MIN
99325,DOMICIL/REST HOME NEW PT VISIT MOD SEVER 30 MIN
99335,DOM/R-HOME E/M EST PT LW MOD SEVERITY 25 MINUTES
1030F,INFLUENZA IMMUNIZATION STATUS ASSESSED
1110F,PT DISCHARGE INPT FACILITY WITHIN LAST 60 DAYS
2027F,OPTIC NERVE HEAD EVALUATION PERFORMED
3028F,OXYGEN SATURATION RESULTS DOCUMENTED & REVIEWE
3066F,DOCUMENTATION OF TREATMENT FOR NEPHROPATHY
3075F,MOST RECENT SYSTOLIC BLOOD PRESS 130-139MM HG
3210F,GROUP A STREP TEST PERFORMED
4037F,INFLUENZA IMMUNIZATION ORDERED OR ADMINISTERED
4043F,DOC ORDER DISCONT ANTIBIO W/IN 48 HOURS OF SURG
4049F,DOC ORDER GIVEN TO STOP ANTIBIO W/IN 24 HRS SURG
4090F,PATIENT RECEIVING ERYTHROPOIETIN THERAPY
4110F,LIMA GRAFT USED IN 1ST ISOLATED CABG PXD
6020F,NOTHING BY MOUTH ORDERED
91111,GASTROINTESTINAL TRACT IMAGING ESOPHAGUS W/I&R
4025F,INHALED BRONCHODILATOR PRESCRIBED
15110,EPIDRM AGRFT T/A/L 1ST 100 CM/&/1% BDY INFT/CHLD
15120,SPLIT AGRFT F/S/N/H/F/G/M/D GT 1ST 100 CM/</1 %
15121,SPLIT AGRFT F/S/N/H/F/G/M/D GT EA 100 CM/EA 1 %
15131,DERMAL AUTOGRAFT TRUNK/ARM/LEG EA 100 CM/EA
15731,FOREHEAD FLAP W/PRESERVATION VASCULAR PEDICLE
17000,DESTRUCTION PREMALIGNANT LESION 1ST
20936,AUTOGRAFT SPINE SURGERY LOCAL FROM SAME INCISION
27268,CLOSED TX FEMORAL FRACTURE PROX HEAD W/MANJ
31525,LARYNGOSCOPY W/WO TRACHEOSCOPY DX EXCEPT NEWBORN
31560,LARYNGOSCOPY DIRECT OPERATIVE W/ARYTENOIDECTOMY
33676,CLOSURE MULTIPLE VSD W/RESECTION
33724,REPAIR ISOLATED PARTIAL PULM VENOUS RETURN
33880,EVASC RPR DTA COVERAGE ART ORIGIN 1ST ENDOPROSTH
33891,BYP GRF W/DESCENDING THORACIC AORTA RPR NECK INC
35600,HARVEST UPPER EXTREMITY ARTERY 1 SEGMENT CABG
35884,REVISION FEMORAL ANAST OPEN W/AUTOG GRAFT
36593,DECLOT BY THROMBOLYTIC AGENT IMPLANT DEVICE/CATH
48548,PANCREATICOJEJUNOSTOMY SIDE-TO-SIDE ANAST
49326,LAPAROSCOPY W/OMENTOPEXY
49436,DELAYED CREATION EXIT SITE EMBEDDED CATHETER
49450,REPLACE GASTROSTOMY/CECOSTOMY TUBE PERCUTANEOUS
49465,CONTRAST INJECTION PERQ RADIOLOGIC EVAL GI TUBE
50385,REMOVE & REPLACE INDWELL URETERAL STENT TRURTHRL
50389,RMVL NFROS TUBE REQ FLUORO GUIDANCE
51102,ASPIRATION BLADDER INSERT SUPRAPUBIC CATHETER
77081,DXA BONE DENSITY STUDY 1/>SITES APPENDICLR SKEL
78600,BRAIN IMAGING <4 STATIC VIEWS
78605,BRAIN IMAGING MINIMUM 4 STATIC VIEWS
78606,BRAIN IMAGING MIN 4 STATIC VIEWS W VASCULAR FLOW
82610,CYSTATIN C
86200,CYCLIC CITRULLINATED PEPTIDE ANTIBODY
89320,SEMEN ANALYSIS VOLUME COUNT MOTILITY DIFFERENT
94610,INTRAPULMONARY SURFACTANT ADMINISTJ PHYS/QHP
95980,ELEC ALYS NSTIM PLS GEN GASTRIC INTRAOP W/PRGRMG
95981,ELEC ALYS NSTIM GEN GASTRIC SBSQ W/O REPRGRMG
96417,CHEMOTX ADMN IV NFS TQ EA SEQL NFS TO 1 HR
99251,INITIAL INPATIENT CONSULT NEW/ESTAB PT 20 MIN
99327,DOMICIL/REST HOME NEW PT VISIT HI SEVER 60 MIN
1005F,ASTHMA SYMPTOMS EVALUATED
1006F,OSTEOARTHRITIS SYMPTOMS&FUNCJAL STATUS ASSES
2000F,BLOOD PRESSURE MEASURED
3017F,COLORECTAL CANCER SCREENING RESULTS DOC&REV
3044F,MOST RECENT HEMOGLOBIN A1C LEVEL < 7.0%
3048F,MOST RECENT LDL-C <100 MG/DL
3061F,NEGATIVE MICROALBUMINURIA TEST RESULT DOC&REV
3072F,LOW RISK FOR RETINOPATHY
3085F,SUICIDE RISK ASSESSED
3100F,CAROTID IMAGNG REPORT DIR/INDIR MEAS VESSEL DIAM
3111F,CT OR MRI BRAIN DONE W/IN 24 HRS HOSP ARRIVAL
4019F,DOCUMENT COUNSELING EXERCISE CALCIUM & VITAMIN
4035F,INFLUENZA IMMUNIZATION RECOMMENDED
4052F,HEMODIAL VIA FUNCTIONG AV FISTULA
6005F,RATIONALE FOR LEVEL OF CARE DOCUMENTED
0126T,COMMON CAROTID INTIMA MEDIA THICKNESS STUDY
83036,HEMOGLOBIN GLYCOSYLATED A1C
1050F,HISTORY NEW OR CHANGING MOLES
31526,LARYNGOSCOPY W/WO TRACHEOSCOPY W/MICRO/TELESCOPE
57295,REVJ/RMVL PROSTHETIC VAGINAL GRAFT VAGINAL APP
15157,CLTR SKIN AGRFT F/S/N/H/F/G/M/D GT EA 100 EA
17312,MOHS MICROGRAPHIC H/N/H/F/G EACH ADDL STAGE
20555,PLACEMENT NEEDLES MUSCLE SUBSEQUENT RADIOELEMENT
21073,MANIPULATION TMJ THERAPEUTIC REQUIRE ANESTHESIA
22862,REVJ RPLCMT DISC ARTHROPLASTY ANT 1 NTRSPC LMBR
29828,ARTHROSCOPY SHOULDER BICEPS TENODESIS
31540,LARYNGOSCOPY EXC TUM&/STRIPPING CORDS/EPIGLOTT
35303,TEAEC W/GRAFT POPLITEAL ARTERY
35304,TEAEC W/GRAFT TIBIOPERONEAL TRUNK ARTERY
43648,LAPS REVISION/RMVL GASTRIC NSTIM ELTRD ANTRUM
43882,REVISION/RMVL GASTRIC NSTIM ELTRDE ANTRUM OPEN
45400,LAPAROSCOPY PROCTOPEXY PROLAPSE
48105,RESECJ/DBRDMT PANCREAS NECROTIZING PANCREATITIS
49204,EXC/DESTRUCTION OPEN ABDMNL TUMORS 5.1-10.0 CM
49460,OBSTRUCTIVE MATERIAL REMOVAL FROM GI TUBE
50593,ABLATION RENAL TUMOR UNILATERAL PERQ CRYOTHERAPY
50688,CHNG URTROST TUBE/XTRNLLY ACCESSIBLE STENT ILEAL
51100,ASPIRATION BLADDER NEEDLE
58571,LAPS TOTAL HYSTERECT 250 GM/< W/RMVL TUBE/OVARY
61630,BALLOON ANGIOPLASTY INTRACRANIAL PERCUTANEOUS
64911,NERVE REPAIR W/AUTOGENOUS VEIN GRAFT EA NERVE
75559,CARDIAC MRI W/O CONTRAST W/STRESS IMAGING
